GenreLink,Genre,NumberOfPeople
/work/shelves/295751,owned-books,5
/work/shelves/295751,mine,4
/work/shelves/295751,own-it,4
/work/shelves/295751,home-library,4
/work/shelves/295751,i-own,4
/work/shelves/295751,hardcover,3
/work/shelves/295751,poetry-plays,3
/work/shelves/295751,american,3
/work/shelves/295751,nonfiction,3
/work/shelves/295751,my-bookshelf,2
/work/shelves/488131,mfa-preparation-list,1
/work/shelves/488131,wanted,1
/work/shelves/488131,enmibiblio,1
/work/shelves/488131,lit-crit,1
/work/shelves/488131,sublime-enchantment,1
/work/shelves/488131,nietzsche,1
/work/shelves/488131,freud,1
/work/shelves/488131,discern-explicate,1
/work/shelves/488131,nonfiction,1
/work/shelves/488131,wishlist,1
/work/shelves/488131,own-mild,1
/work/shelves/488131,litcrit,1
/work/shelves/488131,ebook,1
/work/shelves/295751,own-physical,2
/work/shelves/295751,anthologies,2
/work/shelves/295751,vintage,2
/work/shelves/295751,owned-print,2
/work/shelves/295751,nook-book,2
/work/shelves/295751,misc,2
/work/shelves/295751,my-shelf,2
/work/shelves/295751,physical-tbr,2
/work/shelves/295751,purchased,2
/work/shelves/295751,unfinished,2
/work/shelves/295751,c,2
/work/shelves/488131,brainstuff,1
/work/shelves/488131,let-lit,1
/work/shelves/488131,enespñ,1
/work/shelves/488131,enbiblio,1
/work/shelves/488131,otros,1
/work/shelves/488131,revisionism,1
/work/shelves/488131,repression,1
/work/shelves/488131,currently-reading,1
/work/shelves/488131,western-canon,1
/work/shelves/488131,default,1
/work/shelves/488131,poetry-and-poetry-criticism,1
/work/shelves/488131,literary-theory,1
/work/shelves/295751,shelfari-favorites,2
/work/shelves/295751,nook,2
/work/shelves/295751,paperback,2
/work/shelves/295751,to-buy,2
/work/shelves/295751,tjed,2
/work/shelves/295751,poetry-and-prose,2
/work/shelves/295751,fiction,2
/work/shelves/295751,owned-not-read,2
/work/shelves/295751,high-school,2
/work/shelves/295751,unread,2
/work/shelves/295751,british,2
/work/shelves/295751,physical-library,1
/work/shelves/295751,read-aloud,1
/work/shelves/295751,always-going,1
/work/shelves/295751,i-own-in-print,1
/work/shelves/295751,fiction-poetry,1
/work/shelves/295751,on-shelf,1
/work/shelves/295751,want-to-buy,1
/work/shelves/295751,my-reads,1
/work/shelves/295751,jan-feb-reading-list,1
/work/shelves/295751,classics-i-own,1
/work/shelves/295751,poetic-muse,1
/work/shelves/295751,current-collection,1
/work/shelves/295751,own-copy,1
/work/shelves/295751,tr-poetry,1
/work/shelves/295751,read-before-goodreads,1
/work/shelves/295751,exploring-poetry,1
/work/shelves/295751,to-read-fiction,1
/work/shelves/295751,to-be-read,1
/work/shelves/295751,holding,1
/work/shelves/295751,poetry-and-music,1
/work/shelves/295751,kids,1
/work/shelves/295751,christian-next,1
/work/shelves/295751,books-we-own,1
/work/shelves/295751,want-to-have,1
/work/shelves/295751,ca,1
/work/shelves/295751,classic-literature-authors,1
/work/shelves/295751,own-tbr,1
/work/shelves/295751,like-to-read-again,1
/work/shelves/295751,boozybookclub,1
/work/shelves/295751,to-read-i-own,1
/work/shelves/295751,reference-books,1
/work/shelves/295751,short-ones,1
/work/shelves/295751,changed-my-life,1
/work/shelves/488135,to-read,17
/work/shelves/488135,history,2
/work/shelves/488135,history-want,1
/work/shelves/488135,non-fiction,1
/work/shelves/488135,cultural-studies,1
/work/shelves/488135,aa-history,1
/work/shelves/488135,own,1
/work/shelves/488132,non-fiction,2
/work/shelves/488132,to-read,2
/work/shelves/488132,litcrit,1
/work/shelves/488132,poetry,1
/work/shelves/488132,ebooks,1
/work/shelves/31010,to-read,234369
/work/shelves/31010,currently-reading,44883
/work/shelves/31010,philosophy,7899
/work/shelves/31010,non-fiction,2409
/work/shelves/31010,classics,2322
/work/shelves/31010,favorites,1819
/work/shelves/31010,nonfiction,896
/work/shelves/31010,history,775
/work/shelves/31010,owned,646
/work/shelves/31010,stoicism,603
/work/shelves/31010,own,502
/work/shelves/31010,self-help,423
/work/shelves/31010,kindle,292
/work/shelves/31010,classic,291
/work/shelves/31010,self-improvement,279
/work/shelves/31010,books-i-own,250
/work/shelves/31010,psychology,240
/work/shelves/31010,personal-development,227
/work/shelves/31010,spirituality,217
/work/shelves/31010,to-buy,183
/work/shelves/31010,leadership,154
/work/shelves/31010,favourites,143
/work/shelves/31010,owned-books,141
/work/shelves/31010,audiobook,140
/work/shelves/31010,library,137
/work/shelves/31010,abandoned,136
/work/shelves/31010,wishlist,134
/work/shelves/31010,literature,129
/work/shelves/31010,spiritual,118
/work/shelves/31010,ancient,118
/work/shelves/31010,filosofia,117
/work/shelves/31010,my-library,113
/work/shelves/31010,on-hold,113
/work/shelves/31010,biography,110
/work/shelves/31010,ebook,106
/work/shelves/31010,roman,106
/work/shelves/31010,politics,99
/work/shelves/31010,my-books,98
/work/shelves/488148,to-read,81
/work/shelves/488148,currently-reading,44
/work/shelves/31010,self-development,97
/work/shelves/31010,rome,96
/work/shelves/31010,audiobooks,95
/work/shelves/31010,antiquity,95
/work/shelves/31010,default,93
/work/shelves/31010,must-read,93
/work/shelves/31010,audible,90
/work/shelves/31010,essays,88
/work/shelves/31010,unfinished,88
/work/shelves/31010,life,87
/work/shelves/31010,ancient-rome,87
/work/shelves/31010,bookshelf,82
/work/shelves/31010,ethics,82
/work/shelves/31010,to-read-non-fiction,77
/work/shelves/31010,classical,70
/work/shelves/488148,commentaries,4
/work/shelves/488148,prayer,4
/work/shelves/488148,theology,4
/work/shelves/488148,logos,3
/work/shelves/488148,own,3
/work/shelves/488148,owned,3
/work/shelves/488148,new-testament,2
/work/shelves/488148,calibre,2
/work/shelves/488148,christianity,2
/work/shelves/488148,default,2
/work/shelves/488148,new,2
/work/shelves/488148,to-give-away,1
/work/shelves/488148,religious-devotional,1
/work/shelves/488148,study,1
/work/shelves/488148,god,1
/work/shelves/488148,wordsearch,1
/work/shelves/488148,c-theo,1
/work/shelves/488148,christian-non-fiction,1
/work/shelves/488148,audible,1
/work/shelves/31010,re-read,70
/work/shelves/31010,filosofía,68
/work/shelves/31010,home-library,68
/work/shelves/31010,meditation,65
/work/shelves/31010,historical,65
/work/shelves/31010,business,64
/work/shelves/31010,ebooks,63
/work/shelves/31010,audio,59
/work/shelves/31010,did-not-finish,59
/work/shelves/31010,dnf,58
/work/shelves/31010,self,58
/work/shelves/31010,religion,57
/work/shelves/31010,philosophical,57
/work/shelves/31010,philosophy-religion,56
/work/shelves/31010,stoic,55
/work/shelves/31010,personal-growth,55
/work/shelves/31010,to-reread,53
/work/shelves/6848123,poetry,28
/work/shelves/6848123,to-read,18
/work/shelves/6848123,currently-reading,6
/work/shelves/6848123,books-i-own,6
/work/shelves/6848123,anthology,5
/work/shelves/6848123,my-library,4
/work/shelves/6848123,default,3
/work/shelves/6848123,own,3
/work/shelves/6848123,owned,2
/work/shelves/488148,kindle-content,1
/work/shelves/488148,christian,1
/work/shelves/488148,reference,1
/work/shelves/488148,biblical-studies,1
/work/shelves/488148,mom,1
/work/shelves/488148,unused,1
/work/shelves/488148,exegetical-theology,1
/work/shelves/488148,commentary,1
/work/shelves/488148,scripture,1
/work/shelves/488148,my-library,1
/work/shelves/488148,library-office,1
/work/shelves/488148,e-books,1
/work/shelves/488148,kindle-owned,1
/work/shelves/488148,sync-d,1
/work/shelves/488148,operationcommenta<br/>ry,1
/work/shelves/488148,ebooks,1
/work/shelves/488148,theological-library-digital,1
/work/shelves/488148,resource,1
/work/shelves/488148,paper,1
/work/shelves/488148,hires,1
/work/shelves/488148,worthy,1
/work/shelves/31010,recommended,53
/work/shelves/31010,memoir,51
/work/shelves/31010,philosophie,50
/work/shelves/31010,next,50
/work/shelves/31010,ancient-history,50
/work/shelves/31010,books,49
/work/shelves/31010,wisdom,49
/work/shelves/31010,translated,48
/work/shelves/31010,classic-literature,47
/work/shelves/31010,to-read-classics,47
/work/shelves/31010,paused,46
/work/shelves/31010,to-re-read,45
/work/shelves/31010,reference,45
/work/shelves/31010,philosphy,44
/work/shelves/31010,personal-library,43
/work/shelves/31010,priority,43
/work/shelves/31010,religion-philosophy,42
/work/shelves/31010,biographies,42
/work/shelves/31010,philo,42
/work/shelves/6848123,library,2
/work/shelves/6848123,my-bookshelf,1
/work/shelves/6848123,to-buy-poetry,1
/work/shelves/6848123,american-literature,1
/work/shelves/6848123,to-buy,1
/work/shelves/6848123,plum,1
/work/shelves/6848123,smdanler,1
/work/shelves/6848123,home-library,1
/work/shelves/6848123,want-to-read-own,1
/work/shelves/6848123,mark,1
/work/shelves/6848123,dnf-boredom-can-kill,1
/work/shelves/6848123,readdd,1
/work/shelves/6848123,my-own-library-books,1
/work/shelves/6848123,in-the-library,1
/work/shelves/6848123,on-my-bookself,1
/work/shelves/488148,christian-old,1
/work/shelves/488148,new-testament-commentary,1
/work/shelves/488148,biblical-characters,1
/work/shelves/488148,pink-a-w,1
/work/shelves/488148,paul,1
/work/shelves/488148,biblical-reference,1
/work/shelves/488148,bible-commentaries,1
/work/shelves/488148,to-read-someday,1
/work/shelves/488148,wish-list,1
/work/shelves/488148,bible-study,1
/work/shelves/488148,favorites,1
/work/shelves/488148,devotionals,1
/work/shelves/488148,christiantbr,1
/work/shelves/488148,knowinggod-faith-christianity,1
/work/shelves/488148,kindle,1
/work/shelves/31010,have,42
/work/shelves/31010,bought,42
/work/shelves/31010,ancient-literature,42
/work/shelves/6848123,added,1
/work/shelves/6848123,the-best-american-series,1
/work/shelves/6848123,contemporary,1
/work/shelves/6848123,american,1
/work/shelves/6848123,print,1
/work/shelves/6848123,poetry-and-poetics,1
/work/shelves/6848123,collection-poetry,1
/work/shelves/6848123,new-york,1
/work/shelves/6848123,zeitgeist,1
/work/shelves/6848123,liquid-measures-flow,1
/work/shelves/6848123,ellalib-old,1
/work/shelves/6848123,hardback-paperback,1
/work/shelves/6848123,nonfic,1
/work/shelves/6848123,signed,1
/work/shelves/6848123,autographed,1
/work/shelves/488148,print,1
/work/shelves/488148,must-reads,1
/work/shelves/488148,ebook,1
/work/shelves/488148,testament,1
/work/shelves/488148,biblical,1
/work/shelves/488148,reformed-faith,1
/work/shelves/488148,nt-studies,1
/work/shelves/488148,not-read,1
/work/shelves/488148,christian-theology,1
/work/shelves/488148,biblical-commentary,1
/work/shelves/6848123,to-file,1
/work/shelves/6848123,poetry-read,1
/work/shelves/6848123,women-writers,1
/work/shelves/6848123,poetry-and-poetry-criticism,1
/work/shelves/6848123,reference,1
/work/shelves/6848123,pine-bookcase,1
/work/shelves/6848123,mycollection,1
/work/shelves/6848123,fiction,1
/work/shelves/6848123,best-american,1
/work/shelves/6848123,anthologies,1
/work/shelves/6848123,to-buy-novels,-1
/work/shelves/6848123,physical-tbr,-1
/work/shelves/488146,to-read,23
/work/shelves/488146,theology,3
/work/shelves/488146,ccc,2
/work/shelves/488146,logos,2
/work/shelves/488146,new,2
/work/shelves/488146,my-library,1
/work/shelves/488146,hamartiology,1
/work/shelves/488146,anthropology,1
/work/shelves/488146,c-theo,1
/work/shelves/488146,immerse,1
/work/shelves/488146,c-life,1
/work/shelves/488146,systematic-theology,1
/work/shelves/488146,reference,1
/work/shelves/488146,marshall,1
/work/shelves/488146,jordan,1
/work/shelves/488146,dad,1
/work/shelves/488146,owned,1
/work/shelves/488146,somewhere-out-there,1
/work/shelves/488146,top-of-the-heap,1
/work/shelves/488146,pink-a-w,1
/work/shelves/488146,library-books,1
/work/shelves/488146,worthy,1
/work/shelves/488146,soteriology,1
/work/shelves/488146,bible-study,1
/work/shelves/488146,christianity,1
/work/shelves/488146,insightful-christianity,1
/work/shelves/488146,testament,1
/work/shelves/488146,biblical,1
/work/shelves/488146,doctrine,1
/work/shelves/488146,christian,-2
/work/shelves/488137,to-read,163
/work/shelves/488137,history,7
/work/shelves/488137,american-history,5
/work/shelves/488137,us-history,2
/work/shelves/488137,oxford-history-of-us,2
/work/shelves/488137,oxford-history-of-the-united-states,2
/work/shelves/488137,oxford-history-of-the-u-s,2
/work/shelves/488137,want-to-read-unowned,1
/work/shelves/488137,history-american,1
/work/shelves/488137,history-books,1
/work/shelves/488137,old-age,1
/work/shelves/488137,not-in-labrary,1
/work/shelves/488137,want-to-read-non-fiction,1
/work/shelves/488137,history-america,1
/work/shelves/488137,oxford-us,1
/work/shelves/488137,to-read-non-fiction,1
/work/shelves/488137,am-hist-general,1
/work/shelves/488137,to-read-this-year,1
/work/shelves/488137,gilded-age,1
/work/shelves/488137,for-purchase,1
/work/shelves/488137,twentieth-century,1
/work/shelves/488137,peter-s-shelf,1
/work/shelves/488137,u-s-history,1
/work/shelves/488137,need-to-get-to-read,1
/work/shelves/488137,history-politics,1
/work/shelves/488151,to-read,146
/work/shelves/488151,currently-reading,42
/work/shelves/488151,religion,11
/work/shelves/488151,baha-i,11
/work/shelves/488151,favorites,8
/work/shelves/488151,bahai,8
/work/shelves/488151,bahá-í,5
/work/shelves/488151,spiritual,4
/work/shelves/488151,non-fiction,4
/work/shelves/488151,religious,3
/work/shelves/488151,spirituality,3
/work/shelves/488151,sacred-texts,3
/work/shelves/488151,own,3
/work/shelves/488151,owned,2
/work/shelves/488151,theology-bahá-í-writings,1
/work/shelves/488151,audio-book,1
/work/shelves/488151,books-i-own,1
/work/shelves/488151,west-asian-lit,1
/work/shelves/488151,religious-studies,1
/work/shelves/488151,bahá-í-scripture,1
/work/shelves/488151,to-search-about,1
/work/shelves/488151,truth-vs-falsehood-references,1
/work/shelves/488151,religious-texts,1
/work/shelves/488151,next,1
/work/shelves/488151,faiths,1
/work/shelves/488151,want-to-read-to-learn,1
/work/shelves/488151,personal-development,1
/work/shelves/488151,comparative-religion,1
/work/shelves/488151,have-ebook-to-read,1
/work/shelves/488151,highly-rated,1
/work/shelves/488151,bahá-í-writings,1
/work/shelves/488151,want-to-buy,1
/work/shelves/488151,spirit_faith,1
/work/shelves/488151,religious-works-and-scripture,1
/work/shelves/488151,to-buy,1
/work/shelves/488151,religion-spirituality,1
/work/shelves/488151,faith,1
/work/shelves/488151,religion-baháí-faith,1
/work/shelves/488151,religious-books,1
/work/shelves/488151,references,1
/work/shelves/488151,baha-i-books,1
/work/shelves/488151,ongoingstudyofthi<br/>sbook,1
/work/shelves/488151,finished-reading,1
/work/shelves/488151,author-male,1
/work/shelves/488151,religion-philosophy,1
/work/shelves/488151,metaphysics,1
/work/shelves/488151,holy_shit,1
/work/shelves/488151,bahaullah,1
/work/shelves/488151,reviewed-books,1
/work/shelves/488151,rated-books,1
/work/shelves/488151,it-wikipedia,1
/work/shelves/488151,for-the-spirit,1
/work/shelves/488151,ownthis,1
/work/shelves/488151,philosophy,1
/work/shelves/488151,serious,1
/work/shelves/488151,bahai-faith,1
/work/shelves/488151,bahai-sacred-writings,1
/work/shelves/488151,desert-island-books,1
/work/shelves/488151,bahai-scriptural,1
/work/shelves/488151,scripture,1
/work/shelves/488151,best-of-the-best,1
/work/shelves/488144,to-read,102
/work/shelves/488144,currently-reading,68
/work/shelves/488144,old-testament,8
/work/shelves/488144,commentaries,6
/work/shelves/488144,christian,5
/work/shelves/488144,own,5
/work/shelves/488144,commentary,5
/work/shelves/488144,exodus,4
/work/shelves/488144,theology,4
/work/shelves/488144,owned,3
/work/shelves/488144,old-testament-commentary,3
/work/shelves/488144,logos,3
/work/shelves/488144,biblical-studies,3
/work/shelves/488144,bible-commentary,3
/work/shelves/488144,wordsearch,2
/work/shelves/488144,comm,2
/work/shelves/488144,my-library,2
/work/shelves/488144,faith,2
/work/shelves/488144,pink-a-w,2
/work/shelves/488144,christian-books,2
/work/shelves/488144,christian-life,2
/work/shelves/488144,religious,2
/work/shelves/488144,biblical-commentary,2
/work/shelves/488144,digital,1
/work/shelves/488144,biblical-theology,1
/work/shelves/488144,hard-copies,1
/work/shelves/488144,ot,1
/work/shelves/488144,religion,1
/work/shelves/488144,kindle-owned-to-read,1
/work/shelves/488144,kindle-owned,1
/work/shelves/488144,referencing,1
/work/shelves/488144,yanjing,1
/work/shelves/488144,ihs-biblical-theology,1
/work/shelves/488144,god,1
/work/shelves/488144,unused,1
/work/shelves/488144,exegetical-theology,1
/work/shelves/488144,reference,1
/work/shelves/488144,purchased-to-read,1
/work/shelves/488144,personal-library,1
/work/shelves/488144,not-read,1
/work/shelves/488144,library-office,1
/work/shelves/488144,kindle-other,1
/work/shelves/488144,dead-theologians,1
/work/shelves/488144,default,1
/work/shelves/488144,study-helps,1
/work/shelves/488144,operationcommenta<br/>ry,1
/work/shelves/488144,own-not-read,1
/work/shelves/488144,john-s-office,1
/work/shelves/488144,ebooks,1
/work/shelves/488144,church-physical-library,1
/work/shelves/488144,collection,1
/work/shelves/488144,resource,1
/work/shelves/488144,new,1
/work/shelves/488144,theological-studies,1
/work/shelves/488144,pentateuch,1
/work/shelves/488144,a-w-pink,1
/work/shelves/488144,worthy,1
/work/shelves/488144,calibre,1
/work/shelves/488144,ref-com-con-dict,1
/work/shelves/488144,bible-commentaries,1
/work/shelves/488144,books-to-consider,1
/work/shelves/488144,moses-project,1
/work/shelves/488144,bible-study,1
/work/shelves/488144,hardback,1
/work/shelves/488144,christianity,1
/work/shelves/488144,christiantbr,1
/work/shelves/488144,knowinggod-faith-christianity,1
/work/shelves/488144,never-finished,1
/work/shelves/488144,studies,1
/work/shelves/488144,favorites,1
/work/shelves/488144,non-fiction,1
/work/shelves/488144,my-ebooks,1
/work/shelves/488144,devotional,1
/work/shelves/488144,commentary-expositions,1
/work/shelves/488144,ot-studies,1
/work/shelves/488144,on-my-shelf,1
/work/shelves/488144,christian-theology,1
/work/shelves/488144,comm-ref,-1
/work/shelves/14081,to-read,8048
/work/shelves/14081,fiction,307
/work/shelves/14081,pulitzer,211
/work/shelves/14081,currently-reading,157
/work/shelves/14081,pulitzer-prize,117
/work/shelves/14081,pulitzer-prize-winners,68
/work/shelves/14081,pulitzer-winners,60
/work/shelves/14081,pulitzer-fiction,60
/work/shelves/14081,pulitzers,57
/work/shelves/14081,music,53
/work/shelves/14081,own,46
/work/shelves/14081,historical-fiction,43
/work/shelves/14081,cuba,42
/work/shelves/14081,pulitzer-prize-fiction,39
/work/shelves/14081,favorites,36
/work/shelves/14081,owned,29
/work/shelves/14081,literature,27
/work/shelves/14081,novels,25
/work/shelves/14081,pulitzer-prize-for-fiction,23
/work/shelves/14081,literary-fiction,22
/work/shelves/14081,books-i-own,19
/work/shelves/14081,new-york,18
/work/shelves/14081,pulitzer-prize-winner,16
/work/shelves/14081,book-club,15
/work/shelves/14081,latin-america,15
/work/shelves/14081,american,14
/work/shelves/14081,novel,12
/work/shelves/14081,pulitzer-fiction-winners,11
/work/shelves/14081,kindle,10
/work/shelves/14081,owned-books,10
/work/shelves/14081,wishlist,10
/work/shelves/14081,library,10
/work/shelves/14081,didn-t-finish,10
/work/shelves/14081,pulitzer-winner,10
/work/shelves/14081,did-not-finish,9
/work/shelves/14081,american-literature,9
/work/shelves/14081,general-fiction,9
/work/shelves/14081,to-buy,9
/work/shelves/14081,contemporary-fiction,9
/work/shelves/14081,latin-american,9
/work/shelves/14081,caribbean,9
/work/shelves/14081,latinx,8
/work/shelves/14081,adult-fiction,8
/work/shelves/14081,literary,8
/work/shelves/14081,nyc,8
/work/shelves/14081,cuban,8
/work/shelves/14081,prize-winners,8
/work/shelves/14081,new-york-city,8
/work/shelves/14081,dnf,7
/work/shelves/14081,adult,7
/work/shelves/14081,default,7
/work/shelves/14081,my-library,7
/work/shelves/14081,american-fiction,7
/work/shelves/14081,classics,7
/work/shelves/14081,award-winners,7
/work/shelves/14081,award-winner,7
/work/shelves/14081,latino,7
/work/shelves/14081,romance,6
/work/shelves/14081,maybe,6
/work/shelves/14081,awards,6
/work/shelves/14081,tbr,6
/work/shelves/14081,modern-fiction,6
/work/shelves/14081,award-winning,6
/work/shelves/14081,to-read-fiction,6
/work/shelves/14081,pulitzer-project,6
/work/shelves/14081,book-group,6
/work/shelves/14081,wish-list,6
/work/shelves/14081,contemporary,6
/work/shelves/14081,my-books,5
/work/shelves/14081,fiction-general,5
/work/shelves/14081,fiction-literature,5
/work/shelves/14081,historical,5
/work/shelves/14081,pulitzers-to-read,5
/work/shelves/14081,pulitzer-to-read,5
/work/shelves/14081,gave-up-on,5
/work/shelves/14081,american-lit,5
/work/shelves/14081,immigrants,5
/work/shelves/14081,pulitzer-prize-for-fiction-winners,4
/work/shelves/14081,bookshelf,4
/work/shelves/14081,e-book,4
/work/shelves/14081,my-bookshelf,4
/work/shelves/14081,fiction-literary,4
/work/shelves/14081,couldn-t-finish,4
/work/shelves/14081,usa,4
/work/shelves/14081,contemporary-lit,4
/work/shelves/14081,latino-a,4
/work/shelves/14081,home-library,4
/work/shelves/14081,pulitzer-winners-fiction,4
/work/shelves/14081,unfinished,4
/work/shelves/14081,bookclub,4
/work/shelves/14081,latin-american-lit,4
/work/shelves/14081,owned-not-read,4
/work/shelves/488160,to-read,8
/work/shelves/488160,church-history,2
/work/shelves/488160,default,2
/work/shelves/488160,zzz-to-buy,1
/work/shelves/488160,zzz-seminary-suggested-reading,1
/work/shelves/488160,church-history-to-read,1
/work/shelves/488160,history,1
/work/shelves/488160,witches-gods-other-imaginaries,1
/work/shelves/912021,to-read,39
/work/shelves/912021,non-fiction,6
/work/shelves/912021,vampires,5
/work/shelves/912021,currently-reading,4
/work/shelves/912021,nonfiction,3
/work/shelves/912021,owned,3
/work/shelves/912021,own,2
/work/shelves/912021,psychology,2
/work/shelves/912021,my-books,2
/work/shelves/912021,cataloged,2
/work/shelves/912021,nf-psychology,1
/work/shelves/912021,horror,1
/work/shelves/912021,i-own-it,1
/work/shelves/912021,wtr-o-c-nf,1
/work/shelves/912021,horror-academia,1
/work/shelves/912021,to-go-thru-d,1
/work/shelves/912021,to-go-thru,1
/work/shelves/912021,a-title,1
/work/shelves/912021,research-gothic-subculture,1
/work/shelves/912021,spirits-paranormal-supernatural,1
