BookID,Title,Author,Rate,Raters,Reviewers,Pages,PublishYear,GenreLink,Series
100080,The Starry Wisdom,"D.M. Mitchell, Alan Moore, Ramsey Campbell",3.65,203,16,221,1994,/work/shelves/96493,Starry Wisdom
100082,Letters to Alfred Galpin,"H.P. Lovecraft, David E. Schultz",4.50,12,1,288,2002,/work/shelves/96495,
100077,The Lurker in the Lobby,"Andrew Migliore, John Strysik",3.76,93,8,198,2000,/work/shelves/96490,
100083,Primal Sources: Essays on H. P. Lovecraft,S.T. Joshi,3.93,29,3,212,2003,/work/shelves/96496,
100076,The Cult of Alien Gods: H.P. Lovecraft And Extraterrestrial Pop Culture,Jason Colavito,3.66,83,22,398,2005,/work/shelves/96489,
100075,"The Dark Worlds of H.P. Lovecraft, Vol 2","H.P. Lovecraft, Wayne June",3.91,331,37,3,2005,/work/shelves/606861,The Dark Worlds of H.P. Lovecraft
100078,"The Dark Worlds of H.P. Lovecraft, Vol 3","H.P. Lovecraft, Wayne June",3.81,247,33,3,2006,/work/shelves/14091222,The Dark Worlds of H.P. Lovecraft
100079,H.P. Lovecraft's Arkham: Unveiling the Legend-Haunted City,"Keith Herber, Richard Watts, Mark Morrison",4.08,74,2,248,1990,/work/shelves/96492,Call of Cthulhu RPG
100087,The King in Yellow,"Robert W. Chambers, H.P. Lovecraft",3.50,11025,1208,189,1895,/work/shelves/52901661,
100074,H.P. Lovecraft's Favorite Weird Tales: The Roots of Modern Horror,Douglas A. Anderson,4.14,86,7,391,2005,/work/shelves/96487,
100084,The Letters of H.P. Lovecraft & Donald Wandrei (Letters 1),"H.P. Lovecraft, Donald Wandrei",4.35,23,3,439,2002,/work/shelves/1874788,
100081,Re-Animator,"Jeff Rovin, Dennis Paoli, William J. Norris, Stuart Gordon, H.P. Lovecraft",3.56,18,6,223,1987,/work/shelves/21736419,
100088,H. P. Lovecraft and Lovecraft Criticism: An Annotated Bibliography.,S.T. Joshi,4.17,6,0,508,1985,,
100086,The Gentleman From Angell Street: Memories of H.P. Lovecraft,"Muriel E. Eddy, C.M. Eddy Jr., Jim Dyer",3.73,26,6,70,2001,/work/shelves/96499,
100085,At the Mountains of Madness and Other Novels of Terror,"H.P. Lovecraft, August Derleth",4.16,1464,73,552,1974,/work/shelves/84172860,The H.P. Lovecraft Omnibus
100090,Lord of a Visible World: An Autobiography in Letters,"H.P. Lovecraft, S.T. Joshi, David E. Schultz",4.11,62,13,404,2000,/work/shelves/96503,
100091,Lovecraft Remembered,Peter H. Cannon,4.57,14,1,486,1998,/work/shelves/96504,
100094,Midnight Nation,"J. Michael Straczynski, Gary Frank",4.06,1476,140,304,2002,/work/shelves/96507,Midnight Nation
100089,"H.P. Lovecraft & Lovecraft Criticism: An Annotated Bibliography, Supplement, 1980-84","S.T. Joshi, L. D. Blackmore",4.17,6,0,76,1985,,
100092,Return to Lovecraft Country: Fifteen Frightening Forays into the Lovecraftian Landscape,"Scott David Aniolowski, Donald R. Burleson",3.38,21,1,240,2007,/work/shelves/96505,
100097,"The Land Of The Midnight Sun: Summer And Winter Journeys Through Sweden, Norway, Lapland And Northern Finland. With Descriptions Of The Inner Life Of The People, Their Manners And Customs, The Primitive Antiquities, Etc.",Paul Belloni du Chaillu,0.00,0,0,523,2006,,
100099,Conscious Discipline: 7 Basic Skills for Brain Smart Classroom Management,Becky A. Bailey,4.30,296,26,256,2001,/work/shelves/96512,
100096,"The Land Of The Midnight Sun: Summer And Winter Journeys Through Sweden, Norway, Lapland, And Northern Finland. With Descriptions Of The Inner Life Of ... The Primitive Antiquities, Etc.. Volume 2",Paul Belloni du Chaillu,3.00,2,0,,2006,,
100093,"The Dark Worlds of H.P. Lovecraft, Vol 4","H.P. Lovecraft, Wayne June, Fred Godsmark",3.91,176,19,3,2006,/work/shelves/14091225,The Dark Worlds of H.P. Lovecraft
100104,Cosmopolis: Yesterday's Cities of the Future,Howard Mansfield,5.00,3,1,172,1990,,
100102,Cosmopolis: The Hidden Agenda of Modernity,Stephen Toulmin,3.93,295,27,235,1990,/work/shelves/2071156,
100098,Conscious Classroom Management: Unlocking the Secrets of Great Teaching,"Rick     Smith, Tom Hermansen, Spence Rogers",4.03,272,32,241,2004,/work/shelves/96511,
100095,Midnight Nation,"J. Michael Straczynski, Gary Frank",4.06,1476,140,288,2002,/work/shelves/96507,Midnight Nation
100103,Cosmopolis II,Leonie Sandercock,4.05,37,1,271,2003,/work/shelves/851511,
100101,False Prophets: The Gurus Who Created Modern Management And Why Their Ideas Are Bad For Business Today,James Hoopes,3.26,50,2,352,2003,/work/shelves/96514,
100105,Classical and Modern Thought on International Relations: From Anarchy to Cosmopolis,"Robert M.  Jackson, Peter Wilson",3.00,1,0,224,2005,,
100106,Towards Cosmopolis: Planning For Multicultural Cities,Leonie Sandercock,3.67,15,1,,1997,/work/shelves/1137991,
100108,Hotheads,Steven Pinker,3.76,72,3,58,2005,/work/shelves/96521,
100100,The Prophets,Abraham Joshua Heschel,4.39,1021,77,704,1962,/work/shelves/1153724,
100109,The Blank Slate: The Modern Denial of Human Nature,Steven Pinker,4.08,21469,917,509,2002,/work/shelves/9151,
100107,Connections and Symbols,"Steven Pinker, Jacques Mehler",3.77,13,0,264,1988,/work/shelves/96520,Cognition Special Issue
100114,Genuine Happiness: Meditation as the Path to Fulfillment,"B. Alan Wallace, Dalai Lama XIV",4.07,123,7,256,2005,/work/shelves/96527,
100113,Happiness Is Overrated,Raymond Angelo Belliotti,3.85,20,0,192,2003,/work/shelves/96526,
100115,Lost Virtue of Happiness: Discovering the Disciplines of the Good Life,"J.P. Moreland, Klaus Dieter Issler, Klaus Issler",4.07,163,14,224,2006,/work/shelves/96528,
100119,Happiness: The Science Behind Your Smile,Daniel Nettle,3.91,645,46,216,2005,/work/shelves/1558617,
100110,Words and Rules: The Ingredients of Language,Steven Pinker,3.90,1688,111,348,1999,/work/shelves/9152,The Science Masters Series
100120,Happiness: Lessons from a New Science,Richard Layard,3.72,908,83,320,2005,/work/shelves/96533,
100112,"La tabla rasa, el buen salvaje y el fantasma en la máquina",Steven Pinker,4.08,21469,917,60,2002,/work/shelves/9151,
100111,El instinto del lenguaje,Steven Pinker,4.02,19500,949,535,1994,/work/shelves/2422982,
100117,Choosing Happiness: Keys to a Joyful Life,Alexandra Stoddard,3.86,245,20,192,2002,/work/shelves/96530,
100116,"Happiness Is a Choice: The Symptoms, Causes, and Cures of Depression","Frank Minirth, Paul D. Meier",3.77,332,34,244,1978,/work/shelves/536453,
100118,Happiness is an Inside Job,John Joseph Powell,4.20,251,25,148,1989,/work/shelves/96531,
100121,What the Future Holds: Insights from Social Science,Richard N. Cooper,3.50,4,0,289,2002,,
100122,Post-Communist Reform: Pain and Progress,"Olivier J. Blanchard, Rudiger Dornbusch, Richard Layard, Maxim Boycko, Andrei Shleifer, Marek Dabrowski",3.33,3,0,183,1993,,
100124,Restoring Europe's Prosperity: Macroeconomic Papers from the Centre for European Policy Studies,"Olivier J. Blanchard, Rudiger Dornbusch",0.00,0,0,179,1986,,
100126,Tackling Inequality,Richard Layard,2.67,3,0,544,1999,,
100125,Cost-benefit Analysis,Richard Layard,3.71,7,1,496,1975,,
100127,Britain's Training Deficit: A Centre for Economic Performance Report,"Richard Layard, Ken Mayhew, Geoffrey Owen, Kenneth Mayhew, Owen Geoffrey",0.00,0,0,362,1994,,
100129,Learned Helplessness: A Theory for the Age of Personal Control,"Christopher Peterson, Martin E.P. Seligman",4.10,40,0,376,1993,/work/shelves/96542,
100128,UK Unemployment,"Andrew                        Clark, Richard Layard, Marcus Rubin",0.00,0,0,96,1993,,
100132,Irrational Exuberance,Robert J. Shiller,3.98,6751,255,304,2000,/work/shelves/96545,
100135,Toward Rational Exuberance: The Evolution of the Modern Stock Market,B. Mark Smith,3.74,42,3,352,2001,/work/shelves/96548,
100131,Abnormal Psychology,"Lisa Butler, Martin E.P. Seligman",4.03,95,2,288,1995,/work/shelves/802127,
100134,The Age Of Exuberance: Backgrounds To Eighteenth-Century English Literature,Donald J. Greene,3.42,12,1,,1967,/work/shelves/96547,
100130,Character Strengths and Virtues: A Handbook and Classification,"Christopher Peterson, Martin E.P. Seligman",4.24,335,21,800,2004,/work/shelves/96543,
100123,The Unemployment Crisis,"Richard Layard, Richard Jackman, Stephen Nickell",3.00,1,0,176,1994,,
100136,Rational Exuberance: Silencing the Enemies of Growth and Why the Future Is Better Than You Think,"Michael Mandel, Spiro",3.50,8,0,224,2004,,
100133,Biological Exuberance: Animal Homosexuality and Natural Diversity,Bruce Bagemihl,4.27,312,31,768,1999,/work/shelves/96550,
100138,Rational Exuberance: The Influence of Generation X on the New American Economy,Meredith Bagby,3.00,3,0,274,1998,,
100139,American Fancy: Exuberance in the Arts 1790-1840,Sumpter Priddy,4.13,8,0,267,2004,,
100137,Biological Exuberance,Bruce Bagemihl,4.27,312,31,749,1999,/work/shelves/96550,
100140,Irrational Exuberance,Anthony Sweeney,0.00,0,0,224,1999,,
100143,"The Love Books of Ovid (the Loves, the Art of Love, Love's Cure, and the Art of Beauty)","Ovid, J. Lewis May",3.93,27,3,116,2006,/work/shelves/65849489,
100144,The Red Rose Girls: An Uncommon Story of Art and Love,Alice A. Carter,4.31,109,24,216,2000,/work/shelves/915697,
100141,Art and Love: An Illustrated Anthology of Love Poetry,Kate     Farrell,4.11,89,21,176,1990,/work/shelves/554815,
100151,"Teaching Art With Books Kids Love: Teaching Art Appreciation, Elements of Art, and Principles of Design With Award-Winning Children's Books","Darcie Frohardt, Frohardt",4.19,37,3,192,1999,/work/shelves/96564,
100150,Zen and the Art of Falling in Love,Brenda Shoshanna,4.22,298,32,272,2003,/work/shelves/96563,
100148,"Tibetan Arts Of Love: Sex, Orgasm, And Spiritual Healing","Gendün Chöphel, Jeffrey Hopkins, Dorje Yuthok",3.51,35,3,288,1992,/work/shelves/96561,
100149,Love: A Celebration in Art & Literature,"Jane Lahr, Lena Tabori",3.86,22,2,239,1982,/work/shelves/96562,
100146,The Art of Courtly Love,"Andreas Capellanus, Jan Ziolkowski",3.53,700,39,288,1186,/work/shelves/809445,
100152,"The Lives, Loves and Art of Arthur B. Davies",Bennard B. Perlman,2.50,2,1,469,1998,,
100153,"Art and Cook: Love Food, Live Design and Dream Art","Allan Ben, Emmanuel Paletz",3.89,9,0,304,2003,,
100154,Summer of Love: Art of the Psychedelic Era,Christoph Grunenberg,4.13,15,1,240,2005,/work/shelves/96567,
100145,K: The Art of Love,"Hong Ying, Nicky Harman, Henry Zhao",3.18,413,36,262,1999,/work/shelves/2030027,
100142,The Art of Love,"Ovid, David Malouf, James Michie",3.82,4930,314,199,1,/work/shelves/5847,
100158,"The Luck Factor: Changing Your Luck, Changing Your Life - The Four  Essential Principles",Richard Wiseman,3.82,1265,144,232,2003,/work/shelves/96571,
100155,The Love of Art: European Art Museums and Their Public,Pierre Bourdieu,3.94,65,4,182,1966,/work/shelves/1880503,
100156,Medieval Art of Love: Objects and Subjects of Desire,Michael Camille,4.12,43,2,176,1998,/work/shelves/96569,
100160,The Luck Factor,Max Gunther,3.80,138,12,212,1978,/work/shelves/96573,
100157,The Luck Factor: The Four Essential Principles,Richard Wiseman,3.82,1265,144,240,2003,/work/shelves/96571,
100165,The Moral Animal,Robert Wright,4.07,9977,580,466,1994,/work/shelves/668334,
100163,"Foundations of Probability, Econometrics and Economic Games, Volume 2: Paradoxes, Ambiguity and Rationality Onal Choice","Omar F. Hamouda, J.C.R. Rowley",0.00,0,0,528,1997,,
100166,The Moral Animal: Why We Are The Way We Are:  The New Science of Evolutionary Psychology,Robert Wright,4.07,9977,580,467,1994,/work/shelves/668334,
100161,Where Dead Voices Gather,Nick Tosches,3.92,283,34,336,2001,/work/shelves/96574,
100171,Cruelty to Animals: The Moral Debt,Les Brown,0.00,0,0,256,1988,,
100168,Moral Animals: Ideals and Constraints in Moral Theory,Catherine Wilson,4.67,3,1,332,2004,,
100162,Flow,"Csikszentmi, Csikszentmi",4.11,56356,2912,320,1990,/work/shelves/64339,
100170,Animal Experimentation,Robert M. Baird,3.75,4,1,182,1991,,
100169,Animal Rights snd Moral Philosophy,Julian H. Franklin,3.60,15,2,,2004,/work/shelves/758001,
100167,"Moral, Believing Animals: Human Personhood and Culture",Christian Smith,3.87,112,11,176,2003,/work/shelves/96580,
100164,The Moral Animal: Evolutionary Psychology and Everyday Life,Robert Wright,4.07,9977,580,0,1994,/work/shelves/668334,
100172,The Nature of the Beast: Are Animals Moral?,William R. Clark,2.75,4,0,144,1982,,
100173,Black Maps,Peter Spiegelman,3.57,394,52,320,2003,/work/shelves/1026162,John March
100175,Open Me...I'm a Dog!,Art Spiegelman,4.11,294,30,32,1997,/work/shelves/1764101,
100177,"Divine Waba (Within, Among, Between and Around): A Jungian Exploration of Spiritual Paths",J. Marvin Spiegelman,4.00,3,1,270,2003,,
100180,Speaking for You: The Vision Of Ralph Ellison,Kimberly W. Benston,2.86,7,0,438,1987,,
100183,Ralph Ellison: A Collection of Critical Essays,John Hersey,3.50,2,0,180,1974,,
100174,Red Cat,Peter Spiegelman,3.67,337,54,304,2007,/work/shelves/96587,John March
100181,Invisible Criticism: Ralph Ellison and the American Canon,Alan Nadel,3.40,5,0,197,1991,/work/shelves/96594,
100182,Jazz Country: Ralph Ellison in America,Horace A. Porter,5.00,1,0,184,2001,/work/shelves/96595,
100179,Ralph Ellison,"Harold Bloom, Norma Jean Lutz",4.25,4,0,147,1986,,Bloom's BioCritiques
100186,Trading Twelves: The Selected Letters of Ralph Ellison and Albert Murray,"Ralph Ellison, Albert Murray, John F. Callahan",4.00,76,7,272,2000,/work/shelves/3162071,
100176,Death's Little Helpers,Peter Spiegelman,3.59,235,34,352,2005,/work/shelves/230688,John March
100184,"On Racial Frontiers: The New Culture of Frederick Douglass, Ralph Ellison, and Bob Marley",Gregory Stephens,0.00,0,0,336,1999,,
100178,Flying Home and Other Stories,"Ralph Ellison, John F. Callahan",3.90,617,44,224,1996,/work/shelves/96591,
100185,A Historical Guide to Ralph Ellison,Steven C. Tracy,4.00,3,0,296,2004,,
100187,Commitment as a Theme in African American Literature: A Study of James Baldwin and Ralph Ellison,R. Jothiprakash,0.00,0,0,220,1994,,
100188,Ralph Ellison: Author of Invisible Man,Martha E. Rhynes,4.00,1,0,160,2006,,
100190,"A Circle of Sisters: Alice Kipling, Georgiana Burne Jones, Agnes Poynter, and Louisa Baldwin",Judith Flanders,3.67,255,45,392,2001,/work/shelves/96603,
100189,Ralph Ellison and the Raft of Hope: A Political Companion to Invisible Man,Lucas E. Morel,3.67,3,0,249,2004,,
100193,Freedom's Gifts,"Valerie Wilson Wesley, Sharon Wilson",4.19,16,5,32,1997,,
100192,Adie and Alice: Sisters with a Special Life,T. K. Owens,0.00,0,0,64,2006,,
100197,Juneteenth: A Celebration of Freedom,Charles A.  Taylor,4.14,7,2,32,1995,,
100196,"My Sister, Myself",Alice Sharpe,3.72,36,2,251,2006,/work/shelves/96609,Dead Ringer
100199,Juneteenth,"Vaunda Micheaux Nelson, Drew Nelson, Mark Schroder",4.36,85,14,48,2005,/work/shelves/96612,On My Own ~ Holidays
100200,Juneteenth,"Muriel Miller Branch, Willis Branch",4.33,6,1,64,1998,,
100202,Come Juneteenth,Ann Rinaldi,3.60,658,86,256,2007,/work/shelves/96615,
100198,"Marmora, Canada: Is Our Blessed Mother Speaking Here To Her Beloved Children?",sister alice johnson s.f.c.c.,0.00,0,0,245,1994,,
100191,Sister Alice,Robert Reed,3.77,341,36,368,2003,/work/shelves/96604,
100194,Apples of the Mummy's Eye: The Dickerson Sisters,"Elyse Deffke Bliss, Tom Canfield",3.91,11,4,276,1994,,
100203,Juneteenth: A Day to Celebrate Freedom from Slavery,Angela Leeper,4.20,5,0,48,2004,,
100201,Juneteenth Jamboree,"Carole Boston Weatherford, Yvonne Buchanan",4.00,32,9,24,1995,/work/shelves/2244355,
100195,Sister Alice,Robert Reed,3.77,341,36,408,2003,/work/shelves/96604,
100206,Bone Marrow Nei Kung: Taoist Techniques for Rejuvenating the Blood and Bone,Mantak Chia,4.08,76,2,272,1989,/work/shelves/538390,
100208,Marrow,Robert Reed,3.82,2028,106,512,2000,/work/shelves/1012993,Great Ship
100204,The Marrow of Tradition,Charles W. Chesnutt,3.90,2570,170,213,1901,/work/shelves/824050,
100207,Bone Marrow Pathology,Kathryn Foucar,4.67,3,0,704,1995,,
100212,Paul: His Letters and His Theology: An Introduction to Paul's Epistles,Stanley B. Marrow,4.00,5,0,278,1986,/work/shelves/96625,
100210,Bone Marrow And Blood Stem Cell Transplants: A Guide For Patients,Susan  Stewart,3.67,9,0,228,2002,,
100211,Bone Marrow Pathology,"Barbara J. Bain, David M. Clark, Irvin A. Lampert, Bridget S. Wilkins",4.50,6,0,512,1996,,
100205,The Marrow of Tradition (Black Classics),Charles W. Chesnutt,3.90,2570,170,233,1901,/work/shelves/824050,
100215,To The Marrow,"Robert Seder, Mark Nepo",4.00,4,2,88,2006,,
100209,The Marrow of Tradition,"Nancy Bentley, Sandra Gunning",3.90,2570,170,512,1901,/work/shelves/824050,
100218,Artworks,"Woody Guthrie, Steven Brower, Nora Guthrie, Billy Bragg, Jeff Tweedy",4.35,60,9,344,2005,/work/shelves/96630,
100217,Best of Woody Guthrie,Woody Guthrie,0.00,0,0,56,2002,,
100213,Woody Guthrie,Joe Klein,4.32,1251,96,512,1980,/work/shelves/1220112,
100214,Bound for Glory,Woody Guthrie,4.13,5031,265,320,1943,/work/shelves/2913872,
100216,Woody Guthrie Songbook,"Woody Guthrie, Judy Bell, Nora Guthrie, George Arevalo",4.31,29,4,61,2000,/work/shelves/96628,
100219,Woody's 20 Grow Big Songs,Woody Guthrie,4.44,16,4,48,1969,/work/shelves/96631,
100220,Howdi Do!,"Woody Guthrie, Vladimir Radunsky",3.92,24,5,18,2000,/work/shelves/1115231,
100224,Preservationist's Progress: Architectural Adventures in Conserving Yesterday's Houses,Hugh Howard,2.50,2,0,320,1991,,
100221,Woody Guthrie: Poet of the People,Bonnie Christensen,4.14,65,17,32,2001,/work/shelves/96633,
100227,Frank Applegate of Santa Fe,"Daria Labinsky, Stan Hieronymus",0.00,0,0,304,2001,,
100223,The Preservationist,David Maine,3.61,1426,229,256,2004,/work/shelves/2750597,
