BookID,Title,Author,Rating,Number of raters,Number of reviewers,Pages,PublishDate,Book format,Language,GenreLink,Series
500024,"Reawakened Nation: The Birth of Modern America, 1896-1929",Bruce J. Schulman,2.40,5,1,,January 1st 2014,,,/work/shelves/488137,"Oxford History of the United States, vol. 8"
500018,Poetry and Repression: Revisionism from Blake to Stevens,Harold Bloom,4.07,14,2,304,January 1st 1976,Paperback,English,/work/shelves/488131,
500022,The First Passage: Blacks in the Americas 1502-1617,Colin A. Palmer,5.00,5,2,128,1995,Hardcover,English,/work/shelves/488135,
500023,Latin America in Perspective,Oxford Analytica,0.00,0,0,384,March 1991,Hardcover,,,
500026,Marcus Aurelius: His Life And His World,"Arthur Spenser Loat Farquharson, Arthur Farguharson",3.00,1,0,154,August 6th 1975,Hardcover,English,,
500028,The Life and Opinions of Marcus Aurelius Wherefore,L.D. Clark,0.00,0,0,652,2000,Paperback,English,,
500029,"Marcus Aurelius: A Biography Told As Much As May Be By Letters, Together With Some Account Of The Stoic Religion",Henry Dwight Sedgwick,4.60,5,1,316,June 1921,Paperback,English,,
500025,The Wisdom of Marcus Aurelius,Alan  Jacobs,4.22,137317,7096,260,August 1st 2004,Paperback,English,/work/shelves/31010,
500027,The Golden Book of Marcus Aurelius,Marcus Aurelius,4.22,137317,7096,204,March 19th 2004,Paperback,English,/work/shelves/31010,
500034,"Where You Go, I Shall: Gleanings from the Stories of Biblical Widows",Jane J.  Parkerton,4.00,2,0,129,October 25th 2005,Paperback,English,,
500032,Gleanings from Paul,Arthur W. Pink,4.59,34,3,360,June 28th 1967,Paperback,English,/work/shelves/488148,
500033,Gleanings from the Scriptures: Man's Total Depravity,Arthur W. Pink,3.71,7,2,0,1969,Paperback,English,/work/shelves/488146,
500031,Gleanings in Exodus,Arthur W. Pink,4.22,78,9,388,1964,Hardcover,English,/work/shelves/488144,
500039,Gleanings from the Writings of Bahá'u'lláh,Bahá'u'lláh,4.77,253,10,431,October 1st 2005,Paperback,English,/work/shelves/488151,
500037,Gleanings in Europe: France,James Fenimore Cooper,3.67,3,1,348,1837,Paperback,English,,
500035,Gleanings from Paul: Studies in the Prayers of the Apostle,Arthur W. Pink,4.59,34,3,490,June 28th 1967,Hardcover,English,/work/shelves/488148,
500036,The Mambo Kings Play Songs of Love,Oscar Hijuelos,3.68,11635,520,448,1989,Paperback,English,/work/shelves/14081,Mambo Kings
500042,Essays Classical: Greek Oracles; Virgil; Marcus Aurelius Antoninus,F.W.H. Myers,0.00,0,0,236,2006,Paperback,English,,
500044,Europe Without America?: The Crisis in Atlantic Relations,John Palmer,0.00,0,0,228,January 1st 1988,Unknown Binding,English,,
500045,Agricultural Production and South Asian History,David E. Ludden,0.00,0,0,420,2005,Paperback,English,,
500040,Spiritual Wisdom of Marcus Aurelius: A Poetic Rendition of the Meditations,Alan  Jacobs,4.22,137317,7096,256,May 11th 2006,Hardcover,,/work/shelves/31010,
500047,Irish America,Reginald Byron,3.50,2,1,328,January 1st 1999,Hardcover,English,,
500048,A History of the Churches in the United States & Canada (History of the Christian Church),Robert T. Handy,3.50,2,0,494,May 5th 1977,Hardcover,English,/work/shelves/488160,
500049,The International Dimensions of Democratization: Europe and the Americas,Laurence Whitehead,3.67,3,0,496,March 28th 1996,Paperback,English,,
500053,"American Vampires: Fans, Victims, Practitioners",Norine Dresser,3.08,40,4,255,June 1989,Paperback,English,/work/shelves/912021,
500052,An American Vampire in Jamaica,Richard Taylor,4.00,1,0,292,2005,Paperback,English,,
500050,Streets of Blood,"Lawrence Schimel, Martin H. Greenberg",3.71,7,0,240,March 1st 1998,Paperback,English,,American Vampire
500054,American Vampire,Casey Lytle,4.00,1,0,264,December 1st 2000,Paperback,English,,
500046,Culture of Complaint: The Fraying of America (American Lectures),Robert Hughes,3.93,585,57,224,January 1st 1992,Hardcover,English,/work/shelves/1073374,
500055,Fields of Blood,Lawrence Schimel,3.00,3,0,219,April 1st 1998,Paperback,English,,American Vampire
500051,Southern Blood: Vampire Stories from the American South,"Lawrence Schimel, Martin H. Greenberg",3.06,168,25,203,September 1st 1997,Paperback,English,/work/shelves/3230298,American Vampire
500056,Hopes and Dreams: The Story of Barack Obama,Steve Dougherty,3.89,82,13,0,February 15th 2007,Hardcover,,/work/shelves/1758475,
500057,Blood Lines: Vampire Stories from New England,"Lawrence Schimel, Kristine Kathryn Rusch, Stephen King, Chelsea Quinn Yarbro, H.P. Lovecraft",3.54,41,6,224,September 1st 1997,Paperback,English,/work/shelves/488169,American Vampire
500058,Poets of Contemporary Latin America,William Rowe,5.00,1,0,384,January 1st 2000,Hardcover,English,,
500062,Sculpture 1900-1945,Penelope Curtis,3.60,15,0,304,1999,Hardcover,English,/work/shelves/488174,
500059,"The Colombian Caribbean: A Regional History, 1870-1950",Eduardo Posada-Carbo,4.00,1,0,320,April 18th 1996,Hardcover,English,,
500061,"Nathaniel Taylor, New Haven Theology, and the Legacy of Jonathan Edwards",Douglas A. Sweeney,4.00,3,0,272,November 6th 2002,Hardcover,English,,
500060,Native North American Art,"Janet Catherine Berlo, Ruth B. Phillips",3.80,104,4,304,November 19th 1998,Paperback,English,/work/shelves/488172,
500064,Cultivated Landscapes of Native North America,William E. Doolittle,4.00,1,0,600,November 9th 2000,Paperback,English,,
500065,Arabian Medicine,Edward Granville Browne,0.00,0,0,138,April 1st 1983,Hardcover,,,
500070,The Landowners of the Argentine Pampas: A Social and Political History 1860-1945,Roy Hora,2.00,1,1,280,March 22nd 2001,Hardcover,English,,
500063,Twentieth Century Design,Jonathan M. Woodham,3.60,77,1,288,1997,Hardcover,English,/work/shelves/205121,
500066,A History of Ottoman Poetry Volume IV: 1700-1850,"Elias John Wilkinson Gibb, Edward Granville Browne",3.80,5,0,,January 1st 1902,Hardcover,English,,A History of Ottoman Poetry
500067,A History of Ottoman Poetry VI: Containing the Turkish Originals,Elias John Wilkinson Gibb,4.20,5,0,,December 31st 2002,Hardcover,English,,A History of Ottoman Poetry
500069,American Indian Languages: The Historical Linguistics of Native America,Lyle Campbell,4.30,10,0,528,1997,Hardcover,English,/work/shelves/2816405,
500068,A Literary History of Persia: From Firdawsi to Sa'Di,Edward Granville Browne,4.14,7,1,584,January 28th 1920,Hardcover,,/work/shelves/173861,A Literary History of Persia
500072,Human Rights and Democratization in Latin America: Uruguay and Chile,Alexandra Barahona de Brito,0.00,0,0,352,April 10th 1997,Hardcover,English,,
500071,"Evangelicalism: Comparative Studies of Popular Protestantism in North America, the British Isles, and Beyond, 1700-1990",Mark A. Noll,3.71,7,1,448,January 6th 1994,Paperback,English,/work/shelves/2085752,
500073,Oxford,Valerie Edwards Elliott,3.60,5,1,128,August 1st 2004,Paperback,English,,Images of America: Ohio
500075,The Oxford Companion to the Wines of North America,Bruce Cass,5.00,3,0,336,November 9th 2000,Hardcover,English,,
500078,The Vampire Hunter's Guide to New England,Christopher Rhondina,3.20,5,1,186,June 1st 2000,Paperback,English,,
500074,Oxford,Dorothy A. Debisschop,5.00,2,0,128,July 13th 2004,Paperback,English,,Images of America: Connecticut
500076,"Anglican Chant and Chanting in England, Scotland, and America, 1660 to 1820",Ruth M. Wilson,0.00,0,0,352,January 30th 1996,Hardcover,English,,
500080,Dracula: A New Stage Version,Tom Clapp,0.00,0,0,56,January 1st 1984,Hardcover,English,,
500079,"The Vampire in England, Ireland and Some Latin Lands",Montague Summers,4.29,7,0,64,2005,Paperback,English,,
500081,Texas Mushrooms: A Field Guide,Susan Metzler,4.43,30,3,360,January 1st 1992,Hardcover,English,/work/shelves/488193,
500077,Food for the Dead: On the Trail of New England's Vampires,Michael E. Bell,3.62,279,32,352,October 10th 2001,Paperback,English,/work/shelves/488189,
500084,The Origin of the History of Israel: Herodotus' Histories as Blueprint for the First Books of the Bible,Jan-Wim Wesselius,5.00,2,0,224,June 18th 2002,Hardcover,English,,
500082,A Birder's West Indies: An Island-By-Island Tour,Roland H. Wauer,3.67,6,0,238,1996,Hardcover,English,,Corrie Herring Hooks Series
500085,Knopf Guide: London (Knopf City Guides London),Alfred A. Knopf Publishing Company,4.75,8,1,476,November 28th 2006,Paperback,English,/work/shelves/48645768,
500087,The Relationship Between Herodotus' History and Primary History,"Sara Mandell, Sara Mandell",0.00,0,0,207,January 1st 1993,Hardcover,English,,
500083,Daughter of Grace,"Michael R. Phillips, Judith Pella",4.07,555,22,304,August 1st 1990,Hardcover,English,/work/shelves/841225,The Journals of Corrie Belle Hollister 
500090,Herodotus Father Of History,John L. Myers,3.22,9,0,324,1953,Hardcover,English,,
500091,Greek Forms of Address: From Herodotus to Lucian (Oxford Classical Monographs),Eleanor Dickey,3.00,1,1,360,1996,Hardcover,English,,
500089,The History of Herodotus: Volume 1,Herodotus,4.10,567,21,324,May 24th 2002,Paperback,English,/work/shelves/14003670,Historiae
500097,Daughter of Jerusalem: An American Woman's Journey of Faith,Sharon Geyer,4.50,2,0,216,January 9th 2003,Paperback,English,,
500096,Woman of Jerusalem,Dvora Waysman,3.00,1,0,47,September 1st 1999,Hardcover,English,,
219570,Haveli,Suzanne Fisher Staples,3.94,2022,133,336,1993,Paperback,English,/work/shelves/731609,Shabanu
500093,The Constant Gardener,John le Carré,3.81,22235,1381,570,January 1st 2001,Mass Market Paperback,English,/work/shelves/1442776,
500101,The Giver (SparkNotes Literature Guides),"SparkNotes, Lois Lowry",4.67,12,1,64,June 13th 2003,Paperback,English,,
500098,Nations at Dawn (Formerly Titled: Nations in Darkness),John G. Stoessinger,4.00,14,0,333,January 1st 1971,Hardcover,English,,
500094,Portrait in Sepia,Isabel Allende,3.97,32175,1524,304,2000,Hardcover,English,/work/shelves/3311687,Del Valle Family
500100,The Last Minyan In Havana,Betty Heisler Samuels,4.00,1,0,192,August 22nd 2000,Paperback,,,
500095,The Diary of a Young Girl,"Anne Frank, Otto H. Frank, Mirjam Pressler, Susan Massotty",4.16,2879698,30354,341,June 25th 1947,Hardcover,English,/work/shelves/3532896,
500102,Dragon Boy Part II Strangest Thing: The Wonder Years,Erick E. Anton,0.00,0,0,166,October 2nd 2001,Paperback,English,,
500099,Extreme Bachelor,Julia London,3.76,1111,74,352,May 2nd 2006,Paperback,English,/work/shelves/24220417,Over the Edge
500104,"High Court Case Summaries on Administrative Law: Keyed to Funk, 3rd Ed.",Thomson West,5.00,1,0,469,2006,Paperback,,,
500103,Russia - Culture Smart!: A Quick Guide to Customs & Etiquette,Mary Habibis,3.58,12,1,168,September 1st 2003,Paperback,English,,
500108,"Law in Everyday Japan: Sex, Sumo, Suicide, and Statutes",Mark D. West,3.96,26,3,256,2005,Paperback,English,/work/shelves/488219,
500109,"High Court Case Summaries: Keyed to Whaley's Casebook on Commercial Law, 7th Edition","Annette L. Anderson, Dana L. Blatt",0.00,0,0,297,2003,Hardcover,English,,
500110,Texas Corporation and Partnership Laws 2002 (Texas Corporation and Partnership Laws),Thomson West,0.00,0,0,0,2001,Paperback,,,
500113,Rights (International Library of Essays in Law and Legal Theory (Second Series).),Robin West,0.00,0,0,663,January 1st 2001,Hardcover,,,
500111,Administrative Rulemaking: Politics and Processes,William F. West,0.00,0,0,217,August 13th 1985,Hardcover,English,,Contributions in Political Science
500112,Betrayed: The Assassination of Digna Ochoa,Linda Diebel,3.63,35,5,512,January 2nd 2005,Paperback,English,/work/shelves/488223,
500115,Surgical-Orthodontic Treatment,William R. Proffit,4.43,7,0,722,December 1990,Hardcover,English,,
500114,Contemporary Treatment of Dentofacial Deformity,"William R. Profitt, William R. Profitt",3.00,2,0,768,October 10th 2002,Hardcover,English,,
500116,Federal Social Security Laws: Selected Statutes And Regulations,West Group Publishing,0.00,0,0,,March 1st 1998,Paperback,English,,
500117,High Court Case Summaries on Employment Law - Keyed to Rothstein 5th,Dana L. Blatt,0.00,0,0,313,2003,Paperback,English,,
500118,The Student's Guide to Understanding Constitutional Law,John DeLeo,3.00,4,2,300,August 16th 2005,Paperback,English,,
500119,Doctors Under Hitler,Michael H. Kater,3.71,14,1,440,1989,Paperback,English,/work/shelves/488230,
500121,Constitutional Law,Suzanne C. Bailey,2.75,4,0,561,January 6th 2006,Hardcover,English,,
500123,Business Law: A Hands-On Approach,Neal R. Bevans,4.50,2,0,438,July 14th 2005,Hardcover,English,,
500122,An Introduction to Bankruptcy Law,"Martin A. Frey, Phyllis Hurley Frey",3.11,9,0,556,1990,Paperback,English,,
500127,Illinois pretrial practice,Jennifer Duncan-Brice,0.00,0,0,0,2002,Unknown Binding,,,
500124,Hugo Chavez sin uniforme: Una historia personal,"Cristina Marcano, T. Barrera",3.47,66,8,416,November 30th 2005,Paperback,Spanish,/work/shelves/997476,
500125,Last Settlers,"Jennifer Brice, Charles Mason",4.25,4,0,171,January 1st 1998,Hardcover,English,,
500126,Tammy Tangerine,Melody Carlson,5.00,2,0,14,1997,Board book,English,,Fruit Troops
500128,"Funk, Shapiro and Weaver's Selected Federal and State Administrative and Regulatory Laws, 2002",Russell L. Weaver,1.00,1,0,447,2002,Paperback,,,
500129,"Casenote Legal Briefs: Administrative Law, Keyed to Funk, Shapiro, and Weaver's Administrative Procedure and Practice, 3rd Ed.",Casenote Legal Briefs,0.00,0,0,141,2006,Paperback,English,,
500130,Selected Federal & State Administrative & Regulatory Laws,Russell L. Weaver,0.00,0,0,200,1999,Paperback,,,
500131,"Selected Federal And State Administrative And Regulatory Laws, 2004 (Selected Statues)","William F. Funk, Russell L. Weaver",0.00,0,0,0,2004,Paperback,,,
500134,Administrative Procedure and Practice: Problems and Cases,"William F. Funk, Russell L. Weaver, Sidney A. Shapiro",3.33,15,1,790,January 21st 1997,Hardcover,English,/work/shelves/488245,
500132,Administrative Law (Casenote Legal Briefs),"Norman S. Goldenberg, Peter Tenen, William F. Funk, Nancy Silver, Cathy Sempepos",0.00,0,0,124,January 1996,Paperback,,,
500133,"Funk, Shapiro and Weaver's Selected Federal and State Administrative and Regulatory Laws, 2006 Ed.",William F. Funk,0.00,0,0,465,2004,Unknown Binding,,,
500137,Allgemeines Verwaltungsrecht,Ludwig K. Adamovich,0.00,0,0,508,March 24th 1980,Paperback,German,,
500136,Die Gerichtliche Ueberpruefbarkeit Von Planfeststellungsbeschluessen: Zu Den Klagemoeglichkeiten Der Bundeslaender Und Gemeinden Unter Besonderer Beruecksichtigung Der Belange Des Natur- Und Denkmalschutzes,Sabine Funk-Draschka,0.00,0,0,102,May 1st 1993,Paperback,,,
500135,Administrative Procedure and Practice: Problems and Cases,"William F. Funk, Russell L. Weaver, Sidney A. Shapiro",3.33,15,1,714,January 21st 1997,Hardcover,English,/work/shelves/488245,
500138,"Johnston, Funk and Flatt's Legal Protection of the Environment (American Casebook Series])","Craig N. Johnston, William F. Funk",3.67,3,1,771,September 1st 2005,Hardcover,English,,
500139,The Illusion,"Pierre Corneille, Tony Kushner",3.85,155,11,72,2003,Paperback,English,/work/shelves/48781929,
500140,The Theatre Quotation Book: A Treasury of Insights and Insults,"Russell Vandenbroucke, Tony Kushner",3.67,3,0,264,2002,Hardcover,English,,
500142,Criminal Procedure: A Case Approach,Judy Hails Kaci,4.50,4,0,584,June 1995,Paperback,English,,
500141,Basic Criminal Procedures,Edward E. Peoples,3.58,12,4,226,February 28th 2000,Paperback,English,,
500143,"Criminal Procedure: Investigating Crime, (American Casebook Series)","Joshua Dressler, Thomas C. George III",3.70,33,0,1421,March 2003,Paperback,English,,
500145,Understanding Criminal Procedure 2005 Supplement,"Joshua Dressler, Alan C. Michaels",0.00,0,0,78,2005,Paperback,,,
500147,Carving a Traditional Cape Cod,Paul   White,0.00,0,0,64,1994,Paperback,English,,
500151,"Criminal Procedure, Exam Pro",Mary M. Cheh,3.00,1,0,287,January 1st 2001,Paperback,English,,
500148,Criminal Procedure: Constitution and Society,Marvin Zalman,4.20,5,0,634,June 26th 2001,Hardcover,English,,
500146,Criminal Procedure: Investigation and Right to Counsel,"Ronald Jay Allen, Joseph L. Hoffmann, Debra A. Livingston, William J. Stuntz",3.32,25,2,1089,March 10th 2005,Paperback,English,,
500149,"Supplement to Criminal Procedure: Principles, Policies and Perspectives: Criminal Procedure: Investing Crime: Criminal Procedure: Prosecuting Crime",Joshua Dressler,2.50,2,0,280,August 28th 2000,Paperback,English,,
500144,The Verificationist,Donald Antrim,3.44,876,108,192,February 15th 2000,Hardcover,English,/work/shelves/1845,
500150,Casenote Legal Briefs: Criminal Procedure   Keyed To Weinreb,Lloyd L. Weinreb,4.00,1,0,208,November 15th 2002,Paperback,English,,
500152,Criminal Procedure,"Lazar Emanuel, Kimm Walton",0.00,0,0,,January 28th 1998,Hardcover,English,,
500153,Criminal Procedure Stories,Carol S. Steiker,3.75,4,1,503,April 1st 2006,Paperback,English,,
500154,Criminal Procedure,Allen Stuntz Hoffmann & Livingston,0.00,0,0,,March 5th 2003,Paperback,English,,
500155,Comprehensive Criminal Procedure,Ronald Jay Allen,3.21,14,0,1598,2001,Hardcover,English,,
500156,"Constitutional Criminal Procedure: An Examination of the 4th, 5th and 6th Amendments, and Related Areas, Third Edition",Ronald Jay Allen,0.00,0,0,1568,1985,Hardcover,English,,
500157,"Constitutional Criminal Procedure: An Examination of the Fourth, Fifth, and Sixth Amendments, and Related Areas, Third Edition, 1999 Case Supplement","Ronald Jay Allen, Richard B. Kuhns",0.00,0,0,200,1985,Hardcover,English,,
500158,"Comprehensive Criminal Procedure, 2006 Supplement","Ronald Jay Allen, Joseph L. Hoffmann, Debra A. Livingston, William J. Stuntz",0.00,0,0,320,August 9th 2006,Paperback,,,
500159,Comprehensive Criminal Procedure,Ronald Jay Allen,3.21,14,0,,2001,Paperback,English,,
500160,Comprehensive Criminal Procedure,"Ronald Jay Allen, William J. Stuntz, Joseph L. Hoffmann, Debra A. Livingston",3.21,14,0,203,2001,Paperback,English,,
5552336,"Constitutional Criminal Procedure: An Examination of the Fourth, Fifth, and Sixth Amendments, and Related Areas",Ronald Jay Allen,0.00,0,0,1414,1985,Unknown Binding,English,,
500163,"Constitutional Criminal Procedure: An Examination of the Fourth, Fifth, and Sixth Amendments, and Related Areas","Ronald Jay Allen, William J. Stuntz, Richard B. Kuhns",0.00,0,0,1530,1985,Hardcover,English,,
500162,"Comprehensive Criminal Procedure, 2001 Statutory Supplement","Joseph L. Hoffmann, William J. Stuntz",0.00,0,0,176,August 22nd 2001,Paperback,English,,
500164,Handbook on Antitrust Grand Jury Investigations: A Project of the Criminal Practice and Procedure Committee of the Antitrust Section of the American B,American Bar Association,0.00,0,0,289,June 1st 1988,Hardcover,English,,
500167,Mental Disorder in the Criminal Process: Stan Stress and the Vietnam/Sports Conspiracy (Contributions in Legal Studies),Grant H. Morris,0.00,0,0,324,February 28th 1993,Hardcover,,,
500165,"The Transformation of Criminal Justice: Philadelphia, 1800-1880",Allen Steinberg,4.50,2,0,336,November 1st 1989,Hardcover,English,,Studies in Legal History
500166,Textbook on Criminal Law,Michael J.  Allen,3.75,12,0,534,July 28th 1991,Paperback,English,,
500169,Affordable Justice,Elizabeth L. Allen,4.00,1,0,206,October 1997,Hardcover,English,,
500168,Trial Justice: The International Criminal Court and the Lord's Resistance Army,Tim Allen,3.55,33,3,256,March 1st 2006,Hardcover,English,/work/shelves/407658,
500170,Sentencing Law And Practice In Northern Ireland,"M.J.  Allen, F. McAleenan",0.00,0,0,,December 31st 1998,Hardcover,English,,
500172,Texas Trees: A Friendly Guide,Paul W. Cox,4.33,21,0,374,August 1st 1988,Paperback,English,/work/shelves/488282,
500174,Jeep Grand Cherokee Automotive Repair Manual,"Haynes Publishing, John Harold Haynes",4.50,2,0,352,March 22nd 2006,Paperback,English,,
500173,The Tree Doctor: A Guide to Tree Care and Maintenance,Daniel Prendergast,4.40,5,1,144,2003,Hardcover,English,,
500171,A Natural History of Trees: of Eastern and Central North America,"Donald Culross Peattie, Paul H. Landacre",4.45,67,12,606,January 1st 1966,Paperback,English,/work/shelves/488281,
500176,Dad's Grand Plan,"Roderick Hunt, Alex Brychta",3.70,10,1,24,1999,Paperback,English,,"Biff, Chip and Kipper storybooks"
500180,Grand Procession of Ptolemy Philadelphus,E.E. Rice,4.00,1,0,234,1983,Hardcover,English,,
500181,"Thames Ring and London Ring Atlas: Oxford Canal, River Thames, Grand Union Canal, Braunston, Oxford, London",Geoprojects,0.00,0,0,,January 1st 1997,Unknown Binding,English,,
500183,El Furor y el Delirio: Itinerario de un Hijo de la Revolucion Cubana (Coleccion Andanzas),Jorge Masetti,3.50,4,0,298,1999,Paperback,,,
500182,La Casa De Bernada Alba,Federico García Lorca,3.82,20987,827,140,1945,Paperback,Spanish,/work/shelves/1144595,
500184,Delirio de Nueva York,Rem Koolhaas,4.26,2820,112,320,1978,Paperback,,/work/shelves/113690,
500187,El Furor Y El Delirio/rage And Delirium,Massetti,4.40,5,1,304,January 1st 2004,Paperback,,,
500185,"El delirio y los sueños en la Gradiva de W. Jensen y otras obras 1906-08 (Obras completas, Vol 9)","Sigmund Freud, James Strachey, José Luis Etcheverry",3.84,294,16,253,1986,Paperback,Spanish,/work/shelves/2353081,
500188,La Delirios,Carmen Boullosa,4.13,8,1,86,January 1st 1998,Paperback,English,,
500189,"Ilusiones, Suenos y Delirios En Homeopatia",Zalman J. Bronfman,2.00,1,0,0,September 1999,Paperback,,,
500190,The Tiwanaku: Portrait of an Andean Civilization,Alan L. Kolata,3.50,4,0,336,December 8th 1993,Hardcover,English,,
500191,Tiwanaku: Aproximaciones A Sus Contextos Históricos Y Sociales,"Hornbuckle, Mario A Rivera",0.00,0,0,387,2004,,,,
500192,"Criminal Procedures: Cases, Statutes, and Executive Materials--2004 Supplement",Marc L. Miller,0.00,0,0,284,August 16th 2004,Paperback,English,,
500194,Criminal Justice Administration,Frank William Miller,2.50,2,0,1302,January 1st 2000,Hardcover,English,,
500196,"Criminal Procedures: Cases, Statutes, and Executive Materials--2002 Supplement","Marc L. Miller, Ronald F. Wright",0.00,0,0,336,August 14th 2002,Paperback,English,,
500193,Early Greek Philosophy,John Burnet,3.68,57,10,389,1892,Paperback,English,/work/shelves/488303,
500197,"Criminal Procedures: The Police : Cases, Statutes, and Executive Materials (Casebook)","Marc L. Miller, Ronald F. Wright",3.25,4,0,921,April 13th 1998,Paperback,,,
500195,Criminal Procedures: Prosecution and Adjudication,"Marc L. Miller, Ronald F. Wright",2.00,2,0,1174,March 24th 1999,Paperback,English,,
500198,"Criminal Procedures: Cases, Statutes, and Executive Materials--2006 Supplement","Marc L. Miller, Ronald F. Wright",0.00,0,0,340,August 3rd 2006,Paperback,English,,
500199,"Criminal Procedures: Cases, Statutes, and Executive Materials--2005 Supplement","Marc L. Miller, Ronald F. Wright",0.00,0,0,302,August 22nd 2005,Paperback,,,
500203,Analysis and Science in Aristotle,Patrick Hugh Byrne,3.50,2,0,303,May 1997,Paperback,English,,
500201,"Study Guide for Gaines/Miller's Criminal Justice in Action: The Core, 3rd",Larry K. Gaines,3.33,3,0,272,April 11th 2003,Paperback,English,,
500202,Meet the Philosophers of Ancient Greece: Everything You Always Wanted to Know about Ancient Greek Philosophy But Didn't Know Who to Ask,Patricia F. O'Grady,3.33,6,0,344,April 28th 2005,Paperback,English,,
500204,"Criminal Procedures: Cases, Statutes, and Executive Materials, 2001 Supplement","Marc L. Miller, Ronald F. Wright",0.00,0,0,336,August 10th 2001,Paperback,English,,
500206,"Venezuelan Politics in the Chavez Era: Class, Polarization, and Conflict",Daniel Hellinger,3.55,11,2,259,2004,Paperback,,/work/shelves/488316,
500208,Study Guide for Criminal Justice in Action,Larry K. Gaines,0.00,0,0,,October 1st 2004,ebook,English,,
500207,History of Greek Philosophy,B.A.G. Fuller,4.43,7,3,,1923,,English,/work/shelves/488317,
500209,"Study Guide for Gaines/Miller S Criminal Justice in Action, 4th","Larry K. Gaines, Roger LeRoy Miller",0.00,0,0,320,October 1st 2004,Paperback,English,,
500210,"Criminal Procedures: Prosecution And Ajudication: Cases, Statutes, and Executive Materials","Marc L. Miller, Ronald F. Wright",2.00,2,0,822,July 29th 2005,Paperback,,,
500212,"Criminal Procedures: Cases, Statutes, and Executive Materials 1999 Supplement","Ronald F. Wright, Marc L. Miller",0.00,0,0,0,August 1999,Paperback,English,,
500217,"Criminal Justice Administration Cases and Materials. 5th ed, 2005 Supplement",Frank William Miller,0.00,0,0,297,August 1st 2005,Paperback,,,
500214,Case Studies in Criminal Justice Ethics,"Michael C. Braswell, Larry S. Miller",3.50,6,0,131,January 1st 2006,Paperback,English,,
500218,Religion in Criminal Justice,Monica K. Miller,0.00,0,0,236,January 1st 2006,Hardcover,English,,
500213,La casa de Bernarda Alba,Federico García Lorca,3.82,20987,827,188,1945,Paperback,Spanish,/work/shelves/1144595,
500215,Criminal Justice in Action,"Larry K. Gaines, Roger LeRoy Miller",3.56,50,4,592,January 3rd 2006,Paperback,English,/work/shelves/466198,
500219,Criminal Justice Administration,"Frank William Miller, George E. Dix, Robert O. Dawson",2.50,2,0,323,April 2000,Paperback,,,
