BookID,Title
109,Heretics of Dune
119,The Lord of the Rings: The Art of the Fellowship of the Ring
122,The Power of One
116,The Dune Encyclopedia
120,The Trust: The Private and Powerful Family behind the New York Times
130,Power of an Hour: Business and Life Mastery in One Hour a Week
133,eBay for Dummies
137,Starting an eBay Business for Dummies
141,Ruby Cookbook
153,Anna Karenina
159,Dinner with Anna Karenina
163,The Untouchable
164,The Untouchables
160,Tolstoy: Anna Karenina
165,Untouchables: My Family's Triumphant Journey Out of the Caste System in Modern India
161,The Dream Life of Sukhanov
162,Untouchable
186,Wrinkles in Time: Imprint of Creation
33574273,A Wrinkle in Time
191,Literature Connections Sourcebook: A Wrinkle in Time and Related Readings
204,The Long Shadow
207,Long Way Round: Chasing Shadows Across the World
202,The Long Shadow of Little Rock: A Memoir
205,A Long Shadow
213,New Hope for the Dead
208,A Shadow in Summer
218,The Woman Chaser
214,Sideswipe
216,Miami Blues
215,The Way We Die Now
222,The Shark-Infested Custard
219,The Machine in Ward Eleven
221,Wild Wives
228,Cockfighter
230,The Burnt Orange Heresy (Vintage Crime/Black Lizard)
231,I am Charlotte Simmons
224,The Black Mass of Brother Springer
236,The Complete Nonsense of Edward Lear
234,The Complete Verse and Other Nonsense
241,A Was Once an Apple Pie
244,The Puffin Book of Nonsense Verse
247,Quiet Days in Clichy
240,Edward Lear's Nonsense Verse
242,The Owl and the Pussycat
249,Tropic of Cancer
245,Henry Miller on Writing
252,Sexus
248,Big Sur and the Oranges of Hieronymus Bosch
255,Public Places-Urban Spaces: The Dimensions of Urban Design
246,The Colossus of Maroussi
250,Tropic of Capricorn
251,Nexus
254,The Time of the Assassins:  a Study of Rimbaud
253,The Air-Conditioned Nightmare
256,Behavior in Public Places
264,The Portrait of a Lady
275,The Lover
277,Writing
278,The War
285,Love Letters
282,L'Amour
281,"Destroy, She Said"
280,The Ravishing of Lol Stein
289,The Beloved: Reflections on the Path of the Heart
291,The Broken Wings
284,A Treasury of Kahlil Gibran
283,L'Amant de la Chine du Nord
286,The Prophet
295,Treasure Island
290,Jesus the Son of Man
292,Sand and Foam
302,Treasure Island (Great Illustrated Classics)
312,Flight: 100 Years of Aviation
304,Daniel Deronda
313,100 Years of Lynchings
314,If You Lived 100 Years Ago
323,Masterwork Studies Series: 100 Years of Solitude
320,One Hundred Years of Solitude
330,On Beyond Zebra!
327,Why Zebras Don't Get Ulcers
332,The Wedding Clause
333,The Zebra Wall
342,Essence and Alchemy: A Book of Perfume
337,El perfume. Historia de un asesino
338,Jitterbug Perfume
347,Off the Main Sequence: The Other Science Fiction Stories of Robert A. Heinlein
341,Perfume Dreams: Reflections on the Vietnamese Diaspora
348,The Door Into Summer
349,The Moon is a Harsh Mistress
350,Stranger in a Strange Land
358,Dirk Gently's Holistic Detective Agency
352,The Notebooks of Lazarus Long
351,Starman Jones
354,To Sail Beyond the Sunset
355,Job: A Comedy of Justice
359,The Salmon of Doubt
353,Time Enough for Love
356,Time for the Stars
357,The Long Dark Tea-Time of the Soul
360,Mostly Harmless
362,Wish You Were Here: The Official Biography of Douglas Adams
361,"Life, the Universe and Everything"
367,Douglas Adams's Starship Titanic
374,Salmon Doubts
378,The Phantom Tollbooth
382,The Phantom Tollbooth: A Children's Play in Two Acts
385,On Bullshit
390,Your Call Is Important to Us: The Truth About Bullshit
386,Another Bullshit Night in Suck City
387,100 Bullshit Jobs...And How to Get Them
394,Lincoln at Gettysburg: The Words That Remade America
395,Lincoln's Gettysburg Address in Translation
400,Libra
399,Underworld
403,Americana
409,Against the Day
404,Running Dog
410,V.
405,Ratner's Star
402,Mao II
407,Great Jones Street
415,Gravity's Rainbow
413,Mason & Dixon
406,Cosmopolis
416,Slow Learner: Early Stories
414,Vineland
421,The White Album
408,The Names
420,The Year of Magical Thinking
424,Slouching Towards Bethlehem
411,The Crying of Lot 49
418,Been Down So Long It Looks Like Up To Me
423,Where I Was From
419,Vintage Didion
425,Democracy
426,We Tell Ourselves Stories in Order to Live: Collected Nonfiction
428,Play It As It Lays
429,Amazons: An Intimate Memoir by the First Woman Ever to Play in the National Hockey League
427,Miami
422,A Book of Common Prayer
432,City of Glass
431,The New York Trilogy
434,Ghosts
435,The Locked Room
445,All My Tomorrows
448,A Tomb for Anatole: Poetry
447,Moon Palace
446,The Brooklyn Follies
450,Neon Lit: Paul Auster's City of Glass
451,True Tales of American Life
452,The Invention of Solitude: A Memoir
456,Leviathan
453,The Music of Chance
454,Travels in the Scriptorium
457,Auggie Wren's Christmas Story
455,In the Country of Last Things
449,Timbuktu
459,The Random House Book of 20th Century French Poetry
458,Oracle Night
461,The Inner Life of Martin Frost
467,El libro de las ilusiones
472,Why Write?
463,The Red Notebook: True Stories
470,"The Art of Hunger: Essays, Prefaces, Interviews, The Red Notebook"
464,Collected Poems
475,Collapse: How Societies Choose to Fail or Succeed
477,Collapse of Complex Societies
476,The Coming Economic Collapse: How You Can Thrive When Oil Costs $200 a Barrel
478,Bowling Alone: The Collapse and Revival of American Community
484,Reinventing the Enemy's Language: Contemporary Native Women's Writings of North America
493,My Inventions
492,The Fantastic Inventions of Nikola Tesla
494,Wizard: The Life and Times of Nikola Tesla: Biography of a Genius
498,Tesla Papers
497,Nikola Tesla: A Spark of Genius
482,"Armageddon Averted: The Soviet Collapse, 1970-2000"
500,Problem of Increasing Human Energy
504,The Invention of Peace: Reflections on War and International Order
505,The Invention of Tradition
509,The Invention of Love
516,Programming Ruby: The Pragmatic Programmer's Guide
511,Boys of Summer
519,Rails Recipes
520,Learn to Program
523,Golding's Lord of the Flies (Cliffs Notes)
524,Lord of the Flies
531,A War Like No Other: How the Athenians & Spartans Fought the Peloponnesian War
537,The Lovely Bones
532,Jack: A Life Like No Other
539,Lovely in Her Bones
555,"The Modern Gentleman: A Guide to Essential Manners, Savvy and Vice"
558,The Last Gentleman (Modern Library)
564,Head First HTML with CSS & XHTML
567,CSS Pocket Reference
563,CSS Mastery: Advanced Web Standards Solutions
557,The Compleat Gentleman: The Modern Man's Guide to Chivalry
566,Stylin' with CSS: A Designer's Guide
565,The Zen of CSS Design: Visual Enlightenment for the Web
570,"HTML, XHTML, and CSS (Visual Quickstart Guide)"
568,The CSS Anthology
571,Eric Meyer on CSS: Mastering the Language of Web Design with Cascading Style Sheets
576,1000 Record Covers
572,"1,000 Places to See in the U.S.A.  Canada Before You Die"
586,Art of Modern Rock: The Poster Explosion
597,Killing Yourself to Live: 85% of a True Story
600,"Sex, Drugs and DNA: Science's Taboos Confronted"
599,"Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto"
605,"Life and Def: Sex, Drugs, Money, + God"
601,"Sex, Drugs & Economics: An Unconventional Introduction to Economics"
604,"Reefer Madness: Sex, Drugs, and Cheap Labor in the American Black Market"
616,Vice & Virtue in Everyday Life: Introductory Readings in Ethics
606,The Vice Guide to Sex and Drugs and Rock and Roll
602,"Sex, Drugs, Rock and Roll"
618,Vice DOs & DON'Ts: 10 Years of Vice Magazine's Street Fashion Critiques
621,The Automatic Millionaire: A Powerful One-Step Plan to Live and Finish Rich
620,Small Vices
623,The Automatic Millionaire Workbook: A Personalized Plan to Live and Finish Rich. . . Automatically
619,Vice
622,The Automatic Millionaire Homeowner: A Powerful Plan to Finish Rich in Real Estate
629,Zen and the Art of Motorcycle Maintenance: An Inquiry Into Values
631,The Essential Guide to Motorcycle Maintenance
639,Once Upon a Cool Motorcycle Dude
630,The Mouse and the Motorcycle
632,The Motorcycle Diaries: Notes on a Latin American Journey
633,The Complete Idiot's Guide to Motorcycles
642,Guidebook to Zen and the Art of Motorcycle Maintenance
647,No Logo
649,Logo Design Workbook: A Hands-On Guide to Creating Logos
650,"LOGO Lounge: 2,000 International Identities by Leading Designers"
652,Los Logos: A Selected LOGO Collection
648,Dos Logos
657,Tolstoy Lied: A Love Story
656,War and Peace
655,The Death of Ivan Ilych and Other Stories
659,Walk in the Light & Twenty-Three Tales
660,The Poet of Tolstoy Park
658,The Kingdom of God Is Within You
654,Great Short Works of Leo Tolstoy
661,Hunters Of Dune
662,Atlas Shrugged
664,The Fountainhead
663,For the New Intellectual: The Philosophy of Ayn Rand
666,Ayn Rand Answers: The Best of Her Q & A
665,The Virtue of Selfishness: A New Concept of Egoism
671,"Philosophy, Who Needs It / Ayn Rand: In"
669,Capitalism: The Unknown Ideal
672,Sailing for Dummies
668,We the Living
670,Letters of Ayn Rand
673,The Complete Sailor: Learning the Art of Sailing
676,Sailing Alone Around the Room: New and Selected Poems
667,Anthem
675,Sailing from Byzantium: How a Lost Empire Shaped the World
683,Natural Capitalism
674,Sailing Fundamentals
682,More Natural Cures Revealed
681,"Natural Cures ""They"" Don't Want You to Know about"
687,"Natural Hormone Balance for Women: Look Younger, Feel Stronger, and Live Life with Exuberance"
690,The End of Print
685,The Natural
698,Digging to America
700,Rereading America: Cultural Contexts for Critical Thinking and Writing
702,Modern Latin America
704,Covenant with Black America
701,"Government in America: People, Politics, and Policy"
706,America (The Book): A Citizen's Guide to Democracy Inaction
703,The Plot Against America
707,Naked Pictures of Famous People
705,Democracy in America
759,Collected Stories
761,El otoño del patriarca
760,Memories of My Melancholy Whores
762,Crónica de una muerte anunciada
765,Living to Tell the Tale
764,Del amor y otros demonios
771,"The Elegant Universe: Superstrings, Hidden Dimensions, and the Quest for the Ultimate Theory"
777,Buddhism Is Not What You Think: Finding Freedom Beyond Beliefs
776,Buddhism Plain and Simple
786,The Rough Guide to London
792,London: City Guide (Lonely Planet City Guide)
817,Le Code Enigma
821,Le Réseau Kinakuta
820,Golgotha
816,Cryptonomicon
815,"Three Nights in August: Strategy, Heartbreak, and Joy Inside the Mind of a Manager"
824,The Cobweb
823,Quicksilver
826,The Big U
825,Zodiac
827,"The Diamond Age: Or, a Young Lady's Illustrated Primer"
828,Interface
829,Odalisque
822,The Confusion
831,Snow Crash
834,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume II: The Endgame"
835,"Harrington on Hold 'em: Expert Strategy for No-Limit Tournaments, Volume I: Strategic Play"
840,The Design of Everyday Things
841,Emotional Design: Why We Love (or Hate) Everyday Things
857,Web Standards Solutions: The Markup and Style Handbook
859,CSS Cookbook
866,"Fullmetal Alchemist, Vol. 9"
868,"Fullmetal Alchemist, Vol. 3"
864,The Alchemist
870,"Fullmetal Alchemist, Vol. 1"
869,"Fullmetal Alchemist, Vol. 8"
871,"Fullmetal Alchemist, Vol. 4"
873,"Fullmetal Alchemist, Vol. 2"
878,Una semana de invierno
874,The Kite Runner
885,A.D. 62: Pompeii
881,Pompeii . . . Buried Alive!
883,Pompeii: Lost and Found
880,Pompeii
888,The Last Days of Pompeii
889,Escape from Pompeii
892,Of Mice and Men
901,Ender's Game
900,The Game: Penetrating the Secret Society of Pickup Artists
902,The Westing Game
906,"Game of Shadows: Barry Bonds, BALCO, and the Steroids Scandal that Rocked Professional Sports"
904,The Game Maker's Apprentice: Game Development for Beginners
903,The Egypt Game
905,The Inner Game of Tennis: The Classic Guide to the Mental Side of Peak Performance
909,"Jim Cramer's Mad Money: Watch TV, Get Rich"
907,The City Game
908,Jim Cramer's Real Money: Sane Investing in an Insane World
914,"Rich Dad, Poor Dad 2: Cash Flow Quadrant - Rich Dad's Guide to Financial Freedom"
915,A Lonely Resurrection
912,"Rich Dad, Poor Dad"
916,And a Hard Rain Fell
919,Hard Rain
920,Hard Rain
925,A Clean Kill in Tokyo
929,Memoirs of a Geisha
932,Memoirs of a Geisha: A Portrait of the Film
938,How to Make Anyone Fall in Love with You
935,Geisha of Gion
947,First Impressions
942,Los 5 Lenguajes Del Amor De Los Ninos / The Five Languages Of Love For Children
951,The Five Love Languages: Men's Edition: How to Express Heartfelt Commitment to Your Mate
954,The Five Love Languages of Teenagers
953,"Cinco Lenguajes del Amor Para Solteros, Los: Five Love Languages for Singles"
960,Angels & Demons
961,Angels and Demons: What Do We Really Know About Them?
959,Los Cinco Lenguajes Del Amor/the Five Languages of Love
962,"Angels, Demons & Gods of the New Millenium: Musings on Modern Magick"
964,Secrets of Angels and Demons
969,The Da Vinci Code
974,The Da Vinci Code: Fact or Fiction?
976,Deception Point
978,Point Deception
988,Winner Take All
991,Eye of the Storm
987,A Killing Rain
998,The Millionaire Next Door: The Surprising Secrets of America's Wealthy
1000,Millionaire Women Next Door: The Many Journeys of Successful American Businesswomen
996,What Every Real Estate Investor Needs to Know about Cash Flow... And 36 Other Key Financial Measures
1011,Think and Grow Rich
1014,Pragmatic Version Control: Using Subversion (The Pragmatic Starter Kit Series)
1015,Version Control with Subversion
1022,Read My Lips: Sexual Subversion and the End of Gender
1018,Bodies of Subversion: A Secret History of Women and Tattoo
1024,Real Estate Riches: How to Become Rich Using Your Banker's Money
1031,"Trump: Think Like a Billionaire: Everything You Need to Know About Success, Real Estate, and Life"
1032,Trump: The Art of the Deal
1035,Trump: How to Get Rich
1036,Trump: The Way to the Top: The Best Business Advice I Ever Received
1034,Trump University Real Estate 101: Building Wealth with Real Estate Investments
1033,Trump Strategies for Real Estate: Billionaire Lessons for the Small Investor
1041,Trump: The Best Real Estate Advice I Ever Received: 100 Top Experts Share Their Strategies
1043,I Ain't Scared of You: Bernie Mac on How Life Is
1044,Maybe You Never Cry Again
1038,Trump: Surviving at the Top
1052,The Richest Man in Babylon
1057,The Richest Man in Babylon
1059,Shibumi
1061,Trevanian: Four Complete Novels: The Eiger Sanction / The Loo Sanction / The Main / Shibumi
1068,1776
1067,1776
77398,Gap Creek
1078,The Good Earth
1091,Purpose Driven Life Journal: What on Earth Am I Here For?
1097,Fast Food Nation: The Dark Side of the All-American Meal
1089,Daily Inspiration for the Purpose Driven Life: Scriptures and Reflections from the 40 Days of Purpose
1090,Purpose Driven Life - For Commuters: What on Earth Am I Here For?
1103,Snow Flower and the Secret Fan
1110,The Broker
1111,The Power Broker: Robert Moses and the Fall of New York
1115,Body Brokers: Inside America's Underground Trade in Human Remains
1120,Body For Life: 12 Weeks to Mental and Physical Strength
1116,"The Devil's Broker: Seeking Gold, God, and Glory in Fourteenth- Century Italy"
1121,Body for Life for Women: A Woman's Plan for Physical and Mental Transformation
1123,"Eating for Life: Your Guide to Great Health, Fat Loss and Increased Energy!"
1117,The Power Broker: A Novel
1127,Body Piercing Saved My Life: Inside the Phenomenon of Christian Rock
1122,Body for Life Success Journal
1132,Buffettology: The Previously Unexplained Techniques That Have Made Warren Buffett the World's Most Famous Investor
1130,The Warren Buffett Way
1139,"The Real Warren Buffett: Managing Capital, Leading People"
1131,The Warren Buffett Portfolio: Mastering the Power of the Focus Investment Strategy
1135,How to Think Like Benjamin Graham and Invest Like Warren Buffett
1134,Warren Buffett Speaks: Wit and Wisdom from the World's Greatest Investor
1138,The Warren Buffett CEO: Secrets from the Berkshire Hathaway Managers
1140,Of Permanent Value: The Story of Warren Buffett
1142,The Winning Investment Habits of Warren Buffett & George Soros
1155,Buffett: The Making of an American Capitalist
1150,The Buffettology Workbook: Value Investing The Warren Buffett Way
1148,Los Ensayos De Warren Buffett
1162,Monkey Business: Swinging Through the Wall Street Jungle
1166,Hank the Cowdog and Monkey Business
1160,Damn Right!: Behind the Scenes with Berkshire Hathaway Billionaire Charlie Munger
1169,Monkey Business
1167,Junie B. Jones and a Little Monkey Business
1171,Liar's Poker
1163,Monkey Business
1193,Everyday Pasta
1192,Everyday Italian: 125 Simple and Delicious Recipes
1196,Tyler's Ultimate: Brilliant Simple Food to Make Any Time
1191,Giada's Family Dinners
1197,Tyler Florence's Real Kitchen: An Indespensible Guide for Anybody Who Likes to Cook
1198,Eat This Book: Cooking with Global Fresh Flavors
1199,Semi-Homemade: Cooking 2
1202,Freakonomics: A Rogue Economist Explores the Hidden Side of Everything
1209,Gentleman's Guide to Grooming and Style
1131592,Extremis
1232,The Shadow of the Wind
1226,Life of Pi
1234,Shadows and Wind: A View of Modern Vietnam
1236,In the Shadow of the Wind
1241,A Million Little Pieces
1250,Leadership: Theory and Practice
1251,Leadership Is an Art
1243,A Million Little Lies
1254,The Leadership Pipeline: How to Build the Leadership-Powered Company
1248,The 21 Irrefutable Laws of Leadership Workbook: Follow Them and People Will Follow You
1252,Lincoln on Leadership: Executive Strategies for Tough Times
1247,Leadership and Self-Deception: Getting Out of the Box
1246,The Leadership Challenge
1249,Primal Leadership: Learning to Lead with Emotional Intelligence
1255,Leadership in Organizations
1253,Leadership 101: What Every Leader Needs to Know
1265,Leadership
1274,"Men Are from Mars, Women Are from Venus"
1278,Freddy and the Men from Mars
1282,"Children Are from Heaven: How to Have Strong, Confident Children"
1283,Investing in REITs: Real Estate Investment Trusts
1295,The Clan of the Cave Bear
1300,The Bad Guys Won!
1303,The 48 Laws of Power
1301,Moneyball: The Art of Winning an Unfair Game
1298,"The Clan of the Cave Bear, Part 2 of 2"
1305,Gates of Fire
1307,Fire Sea
1315,The Afghan Campaign
1310,Fire at Eden's Gate: Tom McCall and the Oregon Story
1316,The Virtues of War: A Novel of Alexander the Great
1309,Memory of Fire
1317,Tides of War
1312,The Gate of Fire
1318,Last of the Amazons
1319,The War of Art: Break Through the Blocks & Win Your Inner Creative Battles
1322,Blood Stripes: The Grunt's View of the War in Iraq
1325,Symposium/Phaedrus
1326,Phaedrus and Letters VII and VIII
1341,The Fables of Phaedrus
1338,On Love: Lysis/Symposium/Phaedrus/Alcibiades/Selections from Republic & Laws
1370,The Persian War (Translations from Greek & Roman Authors)
1379,An Iliad
1390,Earth Odyssey: Around the World in Search of Our Environmental Future
1392,Aeneid: Books I-VI
1395,"Aeneid: Hero, War, Humanity"
1402,Eclogues. Georgics. Aeneid: Books 1-6
1404,Eclogues and Georgics
1407,The Eclogues of Virgil: A Translation
1417,The Complete Pelican Shakespeare
1421,The Oxford Shakespeare: The Complete Works
1420,Hamlet
1422,"Shakespeare Set Free: Teaching Romeo & Juliet, Macbeth & Midsumr Night'"
1416,The Norton Shakespeare
1414,The Riverside Shakespeare
1418,Complete Works of William Shakespeare
1425,The Valkyries
1423,The Compleat Works of Wllm Shkspr (abridged)
1426,Warrior of the Light
1427,The Zahir
1431,Veronika Decides to Die
1430,Eleven Minutes
1424,The Pilgrimage: A Contemporary Quest for Ancient Wisdom
1429,The Fifth Mountain
1428,By the River Piedra I Sat Down and Wept
1439,Hamlet's Mill: An Essay Investigating the Origins of Human Knowledge and Its Transmission Through Myth
1441,"On Justice, Power and Human Nature: Selections from The History of the Peloponnesian War"
1463,Euripides V: Electra / The Phoenician Women / The Bacchae
1470,Euripides II: The Cyclops / Heracles / Iphigenia in Tauris / Helen
1471,"Three Plays of Euripides: Alcestis, Medea, the Bacchae"
1477,Four Plays: Medea / Hippolytus / Heracles / Bacchae
1488,The Bacchae of Euripides: A Communion Rite
1483,The Trojan Women and Other Plays
1527,"The Complete Greek Tragedies, Volume 1: Aeschylus"
1538,The Complete Plays
1560,Four Plays: The Clouds/The Birds/Lysistrata/The Frogs
1565,Lysistrata / The Acharnians / The Clouds
1576,Three Plays: The Wasps / The Poet and the Women / The Frogs
1617,Night
1618,The Curious Incident of the Dog in the Night-Time
1620,The Night Gardener
1622,A Midsummer Night's Dream
1625,Twelfth Night
1624,West with the Night
1626,Brokeback Mountain: Story to Screenplay
1627,Brokeback Mountain
1633,Getting Things Done: The Art of Stress-Free Productivity
1634,Getting Things Done When You Are Not in Charge
1621,"Friday Night Lights: A Town, a Team, And a Dream"
1629,Close Range: Brokeback Mountain and Other stories
1635,Execution: The Discipline of Getting Things Done
1639,"The Leader's Handbook: Making Things Happen, Getting Things Done"
1643,El último lector
1644,The Absent City
1646,Respiración artificial
1642,Formas breves
1645,Money to Burn
1663,Adjusting Sights
1667,El túnel
1670,Antes Del Fin
1666,On Heroes and Tombs
1673,Uno y el Universo
1686,Augustine of Hippo: A Biography
1687,Augustine Came to Kent
1692,The Political Writings of St. Augustine
1698,"Confessions, Books 1-13"
1701,Augustine: A New Biography
1703,Augustine: A Very Short Introduction
1702,Saint Augustine
1712,Memoirs of a Midget
1710,Confesiones de un chef
1725,The Art of Love and Other Poems
1717,Tales from Ovid
1723,The Art of Love
1732,Tristia. Ex Ponto
1772,The Tower
1776,Cameron Townsend: Good News in Every Language
1779,The Heroes of Shakespeare's Tragedies
1778,4 Heroes and a Haunted House
1800,"Love, Sex & Tragedy: How the Ancient World Shapes Our Lives"
1815,Breaking Open the Head: A Psychedelic Journey Into the Heart of Contemporary Shamanism
1814,2012: The Return of Quetzalcoatl
1823,Them: Adventures with Extremists
1824,The Men Who Stare at Goats
1836,Practice of the Wild
1842,"Guns, Germs, and Steel: The Fates of Human Societies"
1846,Wild at Heart: Discovering the Secret of a Man's Soul
1850,Born to Be Wild
1849,Wild Fire
1848,Wild Swans: Three Daughters of China
1843,Caught Inside: A Surfer's Year on the California Coast
1845,Into the Wild
1851,Wild at Heart Field Manual: A Personal Guide to Discover the Secret of Your Masculine Soul
1852,The Call of the Wild
1853,Wild About Books
1854,Designing for Interaction: Creating Smart Applications and Clever Devices
1867,The Elements of User Experience: User-Centered Design for the Web (Voices (New Riders)
1868,Observing the User Experience: A Practitioner's Guide to User Research
1870,Nickel and Dimed
1876,"The History of Sexuality, Volume 3: The Care of the Self"
1875,"The History of Sexuality, Volume 1: An Introduction"
1869,Nickel and Dimed: On (Not) Getting by in America
1878,"The History of Sexuality, Volume 2: The Use of Pleasure"
1880,Intimate Matters: A History of Sexuality in America
1884,The Gulf War Did Not Take Place
1885,Pride and Prejudice
1887,The Making of Pride and Prejudice
1894,Under the Banner of Heaven: A Story of Violent Faith
1895,High Exposure: An Enduring Passion for Everest and Unforgiving Places
1896,Iceland: Land of the Sagas
1897,Eiger Dreams: Ventures Among Men and Mountains
1898,Into Thin Air: A Personal Account of the Mount Everest Disaster
1902,In the Land of White Death: An Epic Story of Survival in the Siberian Arctic
1911,The World Is Flat: A Brief History of the Twenty-first Century
1909,Delirium's Mistress
1918,The Long-Distance Relationship Survival Guide: Secrets and Strategies from Successful Couples Who Have Gone the Distance
1924,Staying Alive in Avalanche Terrain
1931,Avalanche
1934,Little Women
1946,"Little Women, Little Men, Jo's Boys"
1944,Jo's Story
1953,A Tale of Two Cities
1972,Den of Thieves
1978,The Voice of Reason: Essays in Objectivist Thought
1980,The Ayn Rand Lexicon: Objectivism from A to Z
1979,My Years with Ayn Rand
1976,Den of Thieves
1988,Charles Dickens
1981,The Art of Fiction: A Guide for Writers and Readers
1982,Four Novels: Great Expectations / Hard Times / A Christmas Carol / A Tale of Two Cities
1983,Hard Times
1990,Martin Chuzzlewit
1991,Why Is Sex Fun? The Evolution of Human Sexuality
1987,What Jane Austen Ate and Charles Dickens Knew: From Fox Hunting to Whist—the Facts of Daily Life in 19th-Century England
1985,David Copperfield
1986,Oliver Twist
1984,Bleak House
1989,Great Expectations
2000,Conversations with J.K. Rowling
1999,J.K.Rowling
1993,The Third Chimpanzee: The Evolution & Future of the Human Animal
2002,Harry Potter Schoolbooks Box Set: Two Classic Books from the Library of Hogwarts School of Witchcraft and Wizardry
2008,Dave's Way
2010,The Santaroga Barrier
2014,The Lazarus Effect
2012,Whipping Star
2013,The Jesus Incident
2011,The Dosadi Experiment
2015,The Eyes of Heisenberg
2017,Solomon's Gold
2016,King of the Vagabonds
2046,"Stories and Early Novels: Pulp Stories / The Big Sleep / Farewell, My Lovely / The High Window"
2045,Later Novels and Other Writings: The Lady in the Lake / The Little Sister / The Long Goodbye / Playback / Double Indemnity (screenplay) / Selected Essays and Letters
2049,The High Window
2050,"Farewell, My Lovely"
2051,The Simple Art of Murder
2052,The Big Sleep
2053,"The Big Sleep; Farewell, My Lovely; The High Window"
2048,"The Lady in the Lake, The Little Sister, The Long Goodbye, Playback (Everyman's Library)"
2047,Collected Stories
2054,The Long Goodbye
2056,An Evening of Long Goodbyes
2057,The Long Goodbye: Memories of My Father
2058,Ghost In the Shell 2: Innocence: After the Long Goodbye
2060,Mandie and the Long Goodbye
2067,Breaking the Spell: Religion as a Natural Phenomenon
2068,Darwin's Dangerous Idea: Evolution and the Meanings of Life
2070,Sweet Dreams: Philosophical Obstacles to a Science of Consciousness
2069,Consciousness Explained
2072,Brainstorms: Philosophical Essays on Mind and Psychology
2073,The Intentional Stance
2074,Kinds of Minds: Towards an Understanding of Consciousness
2078,Elbow Room: The Varieties of Free Will Worth Wanting
2071,Freedom Evolves
2081,The Mind’s I: Fantasies and Reflections on Self and Soul
2088,"Kepler's Dream: With the Full Text & Notes of Somnium Sive Astronomia Lunaris, Joannis Kepleri"
2094,A Briefer History of Time
2095,The Universe in a Nutshell
2096,God Created the Integers: The Mathematical Breakthroughs That Changed History
2099,Stephen Hawking's Universe: The Cosmos Explained
2091,Freud
2100,The Future of Spacetime
2102,Stephen Hawking's Universe
2093,The Illustrated A Brief History of Time
2097,The Illustrated On The Shoulders of Giants
2104,The Physics of Star Trek
2098,Introducing Stephen Hawking
2103,The Nature of Space and Time
2112,The Art of Nonfiction: A Guide for Writers and Readers
2113,The Journals of Ayn Rand
2109,"The World Treasury of Physics, Astronomy & Mathematics from Albert Einstein to Stephen W. Hawking & from Annie Dillard to John Updike"
2110,Stephen Hawking: A Life in Science
2111,The Theory of Everything: The Origin and Fate of the Universe
2127,The Last Hours of Ancient Sunlight: The Fate of the World and What We Can Do Before It's Too Late
2128,The Divine Hours (Volume Two): Prayers for Autumn and Wintertime: A Manual for Prayer
2124,The 3-Hour Diet (TM): How Low-Carb Diets Make You Fat and Timing Makes You Thin
2123,"The 36-Hour Day: A Family Guide to Caring for Persons with Alzheimer Disease, Related Dementing Illnesses, and Memory Loss in Later Life"
2130,Twenty-Four Hours a Day
2137,A Home at the End of the World
2131,The Hours
2140,Blink: The Power of Thinking Without Thinking
